Root,Thinness score (branch surplus),Max outgoing degree,Branching vertices,Total cost
0,14,3,13,12785
1,10,3,9,12714
2,13,2,13,12749
3,10,3,9,12751
4,11,3,10,12781
5,11,3,10,12707
6,11,3,10,12570
7,13,3,12,12674
8,14,3,12,12768
9,12,4,9,12782
10,11,3,10,12786
11,11,3,10,12788
12,13,4,11,12891
13,12,3,11,12811
14,12,3,11,12812
15,13,2,13,12709
16,12,3,11,12468
17,11,3,10,12695
18,13,3,11,12599
19,12,3,11,12771
20,11,3,10,12831
21,14,3,13,12816
22,12,4,10,12848
23,11,3,9,12756
24,12,3,11,12828
25,11,3,10,12862
26,13,3,12,12595
27,11,3,10,12724
28,11,3,9,12739
29,12,3,11,12627
30,12,3,11,12719
31,10,3,9,12763
32,12,3,11,12794
33,13,2,13,12696
34,11,3,10,12819
35,12,3,11,12631
36,12,3,11,12651
37,13,3,12,12686
38,11,3,9,12752
39,14,3,13,12758
40,12,2,12,12793
41,11,3,10,12748
42,12,3,11,12547
43,12,3,11,12633
44,10,3,9,12858
45,12,3,11,12756
46,12,3,11,12759
47,11,3,10,12734
