Alpha,Beta,Rho,Heuristic weight,Random seed,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.10,103,5940,16,165.03,839,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.10,101,5940,17,180.77,448,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.10,102,5940,12,237.13,1851,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.20,103,5940,136,899.60,2868,0,0.00,0,0.00,0.00,0.02,96.67
1.00,2.00,0.80,0.20,102,5940,65,1319.87,5240,0,0.00,0,0.00,0.00,0.02,96.67
1.00,2.00,0.80,0.30,103,5940,448,1964.57,4372,0,0.00,0,0.00,0.00,0.02,96.67
1.00,2.00,0.80,0.40,103,5940,1971,3218.47,5115,0,0.00,0,0.00,0.00,0.02,96.67
1.00,2.00,0.80,0.30,101,5940,61,2594.53,5545,0,0.00,0,0.00,0.00,0.02,93.33
1.00,2.00,0.80,0.60,103,5940,3267,4434.73,5684,0,0.00,0,0.00,0.00,0.02,93.33
1.00,2.00,0.80,0.70,103,5940,3325,4698.33,5560,0,0.00,0,0.00,0.00,0.04,90.00
1.00,2.00,0.80,0.20,101,5940,72,1107.57,3854,0,0.00,0,0.00,0.00,0.02,86.67
1.00,2.00,0.80,0.50,103,5940,2851,4178.90,5414,0,0.00,0,0.00,0.00,0.02,86.67
1.00,2.00,0.80,0.80,103,5940,3828,4861.47,5844,0,0.00,0,0.00,0.00,0.02,86.67
1.00,2.00,0.80,0.30,102,5940,317,1987.13,4821,0,0.00,0,0.00,0.00,0.02,83.33
1.00,2.00,0.80,0.40,102,5940,1007,3135.70,5231,0,0.00,0,0.00,0.00,0.04,83.33
1.00,2.00,0.80,1.00,103,5940,4359,5034.27,5764,0,0.00,0,0.00,0.00,0.02,80.00
1.00,2.00,0.80,0.90,103,5940,4020,4955.13,5470,0,0.00,0,0.00,0.01,0.04,76.67
1.00,2.00,0.80,0.40,101,5940,1171,3273.03,5719,0,0.00,0,0.00,0.01,0.07,80.00
1.00,2.00,0.80,0.50,101,5940,1986,3567.27,5586,0,0.00,0,0.00,0.01,0.02,70.00
1.00,2.00,0.80,0.60,102,5940,2454,4113.67,5648,0,0.00,0,0.00,0.01,0.02,70.00
1.00,2.00,0.80,0.50,102,5940,1535,3454.00,5642,0,0.00,0,0.00,0.01,0.04,70.00
1.00,2.00,0.80,1.00,102,5940,4447,5102.20,5799,0,0.00,0,0.00,0.01,0.02,66.67
1.00,2.00,0.80,0.90,102,5940,3673,4844.40,5616,0,0.00,0,0.00,0.01,0.04,66.67
1.00,2.00,0.80,0.70,102,5940,3104,4590.17,5761,0,0.00,0,0.00,0.01,0.02,63.33
1.00,2.00,0.80,0.60,101,5940,2110,4246.27,5821,0,0.00,0,0.00,0.01,0.04,60.00
1.00,2.00,0.80,1.00,101,5940,4194,4946.03,5632,0,0.00,0,0.00,0.01,0.07,63.33
1.00,2.00,0.80,0.90,101,5940,4035,4880.53,5825,0,0.00,0,0.00,0.01,0.04,56.67
1.00,2.00,0.80,0.70,101,5940,3470,4670.70,5932,0,0.00,0,0.00,0.01,0.04,56.67
1.00,2.00,0.80,0.80,102,5940,3647,4625.90,5701,0,0.00,0,0.00,0.01,0.07,63.33
1.00,2.00,0.80,0.80,101,5940,3287,4548.20,5780,0,0.00,0,0.00,0.01,0.07,46.67
