From,To,Distance,CMSA,Normalized CMSA,High CMSA,Found-optimal edge
0,67,61588.000000,32.000000,0.323232,false,false
1,21,87915.000000,0.000000,0.000000,false,false
2,34,42717.000000,2.000000,0.020202,false,false
3,71,14406.000000,99.000000,1.000000,true,true
4,61,60005.000000,99.000000,1.000000,true,true
5,49,58292.000000,2.000000,0.020202,false,false
6,45,82988.000000,4.000000,0.040404,false,false
7,84,170186.000000,50.000000,0.505051,false,false
8,41,69187.000000,98.000000,0.989899,false,true
9,64,41112.000000,99.000000,1.000000,true,false
10,99,154107.000000,0.000000,0.000000,false,true
11,59,45836.000000,99.000000,1.000000,true,true
12,95,104563.000000,32.000000,0.323232,false,false
13,47,70011.000000,99.000000,1.000000,true,true
14,43,133350.000000,2.000000,0.020202,false,true
15,6,34219.000000,99.000000,1.000000,true,true
16,75,49172.000000,5.000000,0.050505,false,false
17,85,41295.000000,0.000000,0.000000,false,false
18,79,70456.000000,2.000000,0.020202,false,false
19,69,27825.000000,0.000000,0.000000,false,true
20,57,44248.000000,99.000000,1.000000,true,true
21,96,47881.000000,0.000000,0.000000,false,true
22,68,96816.000000,6.000000,0.060606,false,true
23,14,59920.000000,99.000000,1.000000,true,true
24,81,193268.000000,0.000000,0.000000,false,false
25,50,78190.000000,0.000000,0.000000,false,true
26,51,84980.000000,6.000000,0.060606,false,true
27,56,65250.000000,30.000000,0.303030,false,false
28,77,15366.000000,99.000000,1.000000,true,true
29,26,50945.000000,99.000000,1.000000,true,true
30,73,118930.000000,0.000000,0.000000,false,false
31,74,99175.000000,5.000000,0.050505,false,true
32,25,38740.000000,99.000000,1.000000,true,true
33,24,78502.000000,99.000000,1.000000,true,false
34,2,42737.000000,98.000000,0.989899,false,true
35,48,38119.000000,99.000000,1.000000,true,true
36,39,48557.000000,99.000000,1.000000,true,true
37,97,9198.000000,99.000000,1.000000,true,true
38,65,53999.000000,99.000000,1.000000,true,true
39,36,79678.000000,1.000000,0.010101,false,false
40,55,87714.000000,0.000000,0.000000,false,false
41,19,39675.000000,99.000000,1.000000,true,true
42,62,11250.000000,99.000000,1.000000,true,true
43,16,34331.000000,98.000000,0.989899,false,true
44,88,18051.000000,99.000000,1.000000,true,true
45,80,72585.000000,99.000000,1.000000,true,true
46,53,139561.000000,0.000000,0.000000,false,true
47,13,135296.000000,0.000000,0.000000,false,false
48,35,94599.000000,1.000000,0.010101,false,false
49,17,28603.000000,7.000000,0.070707,false,true
50,32,125971.000000,1.000000,0.010101,false,false
51,83,69561.000000,43.000000,0.434343,false,true
52,93,117818.000000,0.000000,0.000000,false,false
53,78,71950.000000,0.000000,0.000000,false,false
54,3,105345.000000,26.000000,0.262626,false,false
55,40,38568.000000,0.000000,0.000000,false,true
56,70,51635.000000,99.000000,1.000000,true,true
57,63,57868.000000,0.000000,0.000000,false,true
58,87,41385.000000,99.000000,1.000000,true,true
59,23,33602.000000,99.000000,1.000000,true,false
60,27,36030.000000,99.000000,1.000000,true,true
61,29,144885.000000,0.000000,0.000000,false,false
62,72,67792.000000,0.000000,0.000000,false,false
63,7,144989.000000,0.000000,0.000000,false,true
64,4,88899.000000,0.000000,0.000000,false,false
65,58,51501.000000,6.000000,0.060606,false,false
66,86,44114.000000,99.000000,1.000000,true,true
67,0,46476.000000,67.000000,0.676768,false,true
68,22,80340.000000,94.000000,0.949495,false,false
69,31,39633.000000,98.000000,0.989899,false,false
70,60,179022.000000,1.000000,0.010101,false,true
71,54,8880.000000,75.000000,0.757576,false,true
72,33,60731.000000,0.000000,0.000000,false,false
73,30,66663.000000,99.000000,1.000000,true,false
74,8,11418.000000,99.000000,1.000000,true,true
75,11,151831.000000,99.000000,1.000000,true,true
76,37,37028.000000,97.000000,0.979798,false,true
77,28,42044.000000,1.000000,0.010101,false,false
78,46,80853.000000,0.000000,0.000000,false,true
79,18,39252.000000,98.000000,0.989899,false,true
80,44,77212.000000,0.000000,0.000000,false,true
81,82,28100.000000,99.000000,1.000000,true,true
82,91,45972.000000,0.000000,0.000000,false,false
83,9,55011.000000,65.000000,0.656566,false,true
84,20,70696.000000,99.000000,1.000000,true,true
85,76,65976.000000,99.000000,1.000000,true,true
86,66,79189.000000,0.000000,0.000000,false,false
87,38,90825.000000,95.000000,0.959596,false,false
88,15,85592.000000,1.000000,0.010101,false,true
89,90,216079.000000,1.000000,0.010101,false,false
90,89,160701.000000,0.000000,0.000000,false,false
91,42,44678.000000,1.000000,0.010101,false,true
92,94,94505.000000,98.000000,0.989899,false,true
93,52,44257.000000,99.000000,1.000000,true,true
94,98,26288.000000,99.000000,1.000000,true,true
95,12,151243.000000,68.000000,0.686869,false,true
96,1,88249.000000,0.000000,0.000000,false,false
97,5,53556.000000,99.000000,1.000000,true,false
98,92,109858.000000,0.000000,0.000000,false,false
99,10,82235.000000,99.000000,1.000000,true,false
