Threshold,High CMSA edges,High CMSA density [%],Precision vs found-optimal edges [%],Recall vs found-optimal edges [%],Lift vs found-optimal edge density,High-CMSA edges not seen in found-optimal tours
0.100000,75,1.55,46.67,50.00,32.200000,40
0.200000,73,1.51,46.58,48.57,32.136986,39
0.300000,71,1.47,46.48,47.14,32.070423,38
0.400000,69,1.43,46.38,45.71,32.000000,37
0.500000,69,1.43,46.38,45.71,32.000000,37
0.600000,68,1.41,47.06,45.71,32.470588,36
0.700000,66,1.37,48.48,45.71,33.454545,34
0.800000,66,1.37,48.48,45.71,33.454545,34
0.900000,64,1.33,48.44,44.29,33.421875,33
1.000000,52,1.08,51.92,38.57,35.826923,25
