From,To,Distance,MSA support,Normalized MSA support,High MSA support,Found-optimal edge
0,30,39643.000000,99.000000,1.000000,true,true
1,32,76434.000000,99.000000,1.000000,true,false
2,0,117165.000000,1.000000,0.010101,false,true
3,5,58668.000000,12.000000,0.121212,false,true
4,12,33666.000000,99.000000,1.000000,true,true
5,73,68897.000000,99.000000,1.000000,true,false
6,28,56842.000000,0.000000,0.000000,false,false
7,25,103686.000000,0.000000,0.000000,false,true
8,80,36766.000000,99.000000,1.000000,true,true
9,22,39188.000000,99.000000,1.000000,true,true
10,1,120195.000000,1.000000,0.010101,false,false
11,72,44215.000000,99.000000,1.000000,true,true
12,3,190896.000000,0.000000,0.000000,false,false
13,88,104415.000000,67.000000,0.676768,false,false
14,69,72931.000000,1.000000,0.010101,false,false
15,16,30140.000000,1.000000,0.010101,false,true
16,31,45984.000000,99.000000,1.000000,true,true
17,52,52158.000000,0.000000,0.000000,false,true
18,21,78918.000000,0.000000,0.000000,false,false
19,96,84547.000000,0.000000,0.000000,false,true
20,40,107326.000000,1.000000,0.010101,false,false
21,20,62706.000000,99.000000,1.000000,true,false
22,9,75866.000000,1.000000,0.010101,false,false
23,74,77548.000000,1.000000,0.010101,false,true
24,46,69509.000000,31.000000,0.313131,false,false
25,7,36932.000000,99.000000,1.000000,true,false
26,81,88281.000000,99.000000,1.000000,true,false
27,64,5729.000000,99.000000,1.000000,true,true
28,6,36589.000000,14.000000,0.141414,false,true
29,65,66533.000000,99.000000,1.000000,true,true
30,44,53051.000000,1.000000,0.010101,false,true
31,86,142643.000000,0.000000,0.000000,false,true
32,51,113061.000000,97.000000,0.979798,false,true
33,38,76701.000000,0.000000,0.000000,false,false
34,10,17088.000000,0.000000,0.000000,false,true
35,43,66971.000000,2.000000,0.020202,false,true
36,60,45066.000000,99.000000,1.000000,true,false
37,23,75149.000000,99.000000,1.000000,true,true
38,33,45346.000000,99.000000,1.000000,true,true
39,97,43184.000000,90.000000,0.909091,false,false
40,75,91204.000000,96.000000,0.969697,false,false
41,94,102689.000000,99.000000,1.000000,true,true
42,58,58632.000000,0.000000,0.000000,false,false
43,99,65644.000000,99.000000,1.000000,true,true
44,2,31825.000000,99.000000,1.000000,true,false
45,19,34533.000000,99.000000,1.000000,true,true
46,34,61795.000000,99.000000,1.000000,true,true
47,54,65518.000000,15.000000,0.151515,false,true
48,15,13606.000000,99.000000,1.000000,true,true
49,78,27337.000000,99.000000,1.000000,true,false
50,8,134072.000000,0.000000,0.000000,false,true
51,18,83066.000000,0.000000,0.000000,false,true
52,82,54102.000000,1.000000,0.010101,false,true
53,27,83394.000000,91.000000,0.919192,false,true
54,68,24631.000000,0.000000,0.000000,false,true
55,71,23018.000000,99.000000,1.000000,true,true
56,77,50686.000000,99.000000,1.000000,true,false
57,95,21778.000000,99.000000,1.000000,true,true
58,62,89167.000000,0.000000,0.000000,false,false
59,85,85133.000000,99.000000,1.000000,true,true
60,36,98990.000000,1.000000,0.010101,false,false
61,76,90900.000000,92.000000,0.929293,false,false
62,42,53616.000000,1.000000,0.010101,false,false
63,48,40716.000000,94.000000,0.949495,false,false
64,53,108715.000000,1.000000,0.010101,false,false
65,70,48609.000000,4.000000,0.040404,false,true
66,93,140928.000000,1.000000,0.010101,false,true
67,87,67295.000000,1.000000,0.010101,false,false
68,49,54942.000000,1.000000,0.010101,false,false
69,89,40654.000000,99.000000,1.000000,true,false
70,29,185954.000000,0.000000,0.000000,false,false
71,24,79052.000000,29.000000,0.292929,false,false
72,47,112585.000000,14.000000,0.141414,false,false
73,79,35207.000000,99.000000,1.000000,true,true
74,37,59552.000000,99.000000,1.000000,true,false
75,45,76001.000000,99.000000,1.000000,true,false
76,41,35944.000000,99.000000,1.000000,true,true
77,84,60659.000000,4.000000,0.040404,false,true
78,55,143109.000000,1.000000,0.010101,false,false
79,50,44076.000000,0.000000,0.000000,false,true
80,83,77725.000000,1.000000,0.010101,false,false
81,92,132059.000000,0.000000,0.000000,false,false
82,59,24021.000000,99.000000,1.000000,true,true
83,17,34229.000000,99.000000,1.000000,true,true
84,56,47682.000000,5.000000,0.050505,false,true
85,4,95230.000000,99.000000,1.000000,true,true
86,98,33196.000000,0.000000,0.000000,false,true
87,67,17636.000000,99.000000,1.000000,true,true
88,11,178094.000000,0.000000,0.000000,false,false
89,14,101342.000000,0.000000,0.000000,false,false
90,91,12815.000000,99.000000,1.000000,true,false
91,61,97004.000000,0.000000,0.000000,false,true
92,26,102988.000000,0.000000,0.000000,false,false
93,66,70899.000000,99.000000,1.000000,true,false
94,90,159233.000000,1.000000,0.010101,false,true
95,57,55170.000000,1.000000,0.010101,false,false
96,13,63320.000000,99.000000,1.000000,true,true
97,39,74455.000000,0.000000,0.000000,false,false
98,63,52746.000000,0.000000,0.000000,false,true
99,35,143068.000000,1.000000,0.010101,false,false
