Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.70,100,44,74.83,99,0,0.00,0,1.02,3.74,8.76,0.00
1.00,2.00,0.80,0.30,100,41,76.43,96,0,0.00,0,0.66,3.91,7.52,0.00
1.00,2.00,0.80,0.80,100,41,75.00,99,0,0.00,0,0.20,4.16,9.19,0.00
1.00,2.00,0.80,0.60,100,38,76.00,98,0,0.00,0,1.98,4.18,7.10,0.00
1.00,2.00,0.80,0.50,100,35,77.23,98,0,0.00,0,1.03,4.27,8.93,0.00
1.00,2.00,0.80,0.00,100,39,77.43,99,0,0.00,0,0.82,4.32,7.08,0.00
1.00,2.00,0.80,0.10,100,33,78.57,98,0,0.00,0,1.28,4.33,7.63,0.00
1.00,2.00,0.80,0.20,100,28,70.53,97,0,0.00,0,1.53,4.36,9.53,0.00
1.00,2.00,0.80,0.40,100,31,74.50,99,0,0.00,0,0.89,4.37,7.61,0.00
1.00,2.00,0.80,1.00,100,34,74.47,99,0,0.00,0,1.62,4.49,8.85,0.00
1.00,2.00,0.80,0.90,100,45,82.80,99,0,0.00,0,0.96,4.76,8.21,0.00
