Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.60,3630,323,2894.70,3623,0,0.00,0,1.52,4.09,9.65,0.00
1.00,2.00,0.80,0.10,3630,198,2005.53,3582,0,0.00,0,1.29,4.30,8.03,0.00
1.00,2.00,0.80,0.20,3630,159,2442.73,3522,0,0.00,0,1.39,4.41,7.89,0.00
1.00,2.00,0.80,1.00,3630,709,2707.70,3625,0,0.00,0,1.39,4.52,7.99,0.00
1.00,2.00,0.80,0.40,3630,421,2182.30,3625,0,0.00,0,1.66,4.53,8.49,0.00
1.00,2.00,0.80,0.80,3630,694,2595.50,3587,0,0.00,0,1.89,4.63,10.11,0.00
1.00,2.00,0.80,0.30,3630,155,2315.57,3496,0,0.00,0,1.75,4.72,7.89,0.00
1.00,2.00,0.80,0.70,3630,559,2942.83,3571,0,0.00,0,2.40,4.82,10.62,0.00
1.00,2.00,0.80,0.50,3630,394,2257.43,3562,0,0.00,0,0.14,4.84,10.30,0.00
1.00,2.00,0.80,0.90,3630,205,2846.03,3571,0,0.00,0,1.43,4.88,11.22,0.00
