Threshold,High CMSA edges,High CMSA precision [%],High CMSA recall [%],High CMSA lift,Cycle-cover high-CMSA edges,Cycle-cover high-CMSA precision [%],Cycle-cover high-CMSA recall [%],Cycle-cover high-CMSA lift,High-CMSA edges removed by cycle cover,High-CMSA found-optimal edges removed by cycle cover,Precision gain from cycle cover,Recall loss from cycle cover,Cycle-cover share of high-CMSA edges [%],Cycle-cover share of high-CMSA found-optimal edges [%]
0.100000,106,52.83,20.00,19.056604,28,100.00,10.00,36.071429,78,28,0.471698,0.100000,26.42,50.00
0.200000,104,53.85,20.00,19.423077,28,100.00,10.00,36.071429,76,28,0.461538,0.100000,26.92,50.00
0.300000,102,53.92,19.64,19.450280,27,100.00,9.64,36.071429,75,28,0.460784,0.100000,26.47,49.09
0.400000,101,54.46,19.64,19.642857,27,100.00,9.64,36.071429,74,28,0.455446,0.100000,26.73,49.09
0.500000,101,54.46,19.64,19.642857,27,100.00,9.64,36.071429,74,28,0.455446,0.100000,26.73,49.09
0.600000,99,55.56,19.64,20.039683,27,100.00,9.64,36.071429,72,28,0.444444,0.100000,27.27,49.09
0.700000,99,55.56,19.64,20.039683,27,100.00,9.64,36.071429,72,28,0.444444,0.100000,27.27,49.09
0.800000,96,56.25,19.29,20.290179,27,100.00,9.64,36.071429,69,27,0.437500,0.096429,28.12,50.00
0.900000,94,55.32,18.57,19.954407,26,100.00,9.29,36.071429,68,26,0.446809,0.092857,27.66,50.00
1.000000,82,57.32,16.79,20.675087,25,100.00,8.93,36.071429,57,22,0.426829,0.078571,30.49,53.19
