Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.90,5000,1838,4232.40,4991,0,0.00,0,0.50,0.68,1.50,0.00
1.00,2.00,0.80,0.20,5000,2879,4442.80,4984,0,0.00,0,0.41,0.69,1.08,0.00
1.00,2.00,0.80,0.70,5000,2879,4389.20,4998,0,0.00,0,0.52,0.75,1.32,0.00
1.00,2.00,0.80,0.30,5000,3578,4369.00,4955,0,0.00,0,0.46,0.80,1.13,0.00
1.00,2.00,0.80,1.00,5000,2432,4124.80,4927,0,0.00,0,0.43,0.81,1.31,0.00
1.00,2.00,0.80,0.50,5000,3856,4388.20,4994,0,0.00,0,0.42,0.81,1.19,0.00
1.00,2.00,0.80,0.00,5000,3705,4381.40,4939,0,0.00,0,0.57,0.82,1.16,0.00
1.00,2.00,0.80,0.10,5000,2114,3976.90,4857,0,0.00,0,0.57,0.91,1.60,0.00
1.00,2.00,0.80,0.60,5000,3563,4542.70,4982,0,0.00,0,0.52,0.92,1.46,0.00
1.00,2.00,0.80,0.40,5000,1412,3949.80,4930,0,0.00,0,0.58,0.93,1.46,0.00
1.00,2.00,0.80,0.80,5000,3271,4239.30,4880,0,0.00,0,0.49,0.94,1.16,0.00
