Tour,Commonality with CMSA,Min commonality with MSA,Avg commonality with MSA,Max commonality with MSA
"[0,3,31,30,2,5,1,6,10,11,7,4,8,15,9,14,22,21,13,12,20,19,23,16,24,25,17,18,26,29,27,28]",75.00,18.75,32.81,40.62
"[0,3,31,30,2,5,1,6,10,11,7,4,8,15,9,14,22,21,13,12,20,19,23,18,26,25,17,16,24,29,27,28]",75.00,18.75,32.03,40.62
"[0,3,31,30,2,5,1,6,10,11,7,4,8,15,9,14,22,21,13,12,20,23,19,18,26,25,17,16,24,29,27,28]",75.00,15.62,30.47,40.62
"[0,3,31,30,2,1,5,6,10,11,7,4,8,15,9,14,22,21,13,12,20,19,23,16,24,25,17,18,26,29,27,28]",71.88,21.88,34.96,43.75
"[0,28,27,29,24,16,17,25,26,18,23,19,20,12,13,21,22,14,9,15,8,4,7,11,10,6,5,1,2,30,31,3]",71.88,25.00,34.57,46.88
"[0,3,31,30,2,5,1,6,10,11,7,4,8,9,15,14,22,21,13,12,20,19,23,18,26,25,17,16,24,29,27,28]",71.88,21.88,34.18,43.75
"[0,3,31,30,2,1,5,6,10,11,7,4,8,15,9,14,22,21,13,12,20,19,23,18,26,25,17,16,24,29,27,28]",71.88,21.88,34.18,43.75
"[0,3,31,30,2,5,1,6,10,11,7,4,8,9,15,12,20,21,13,14,22,23,19,18,26,25,17,16,24,29,27,28]",71.88,21.88,32.81,40.62
"[0,1,5,6,10,11,7,4,8,15,9,14,22,21,13,12,20,19,23,18,26,25,17,16,24,27,29,30,2,3,31,28]",71.88,25.00,32.81,40.62
"[0,3,31,30,2,1,5,6,10,11,7,4,8,15,9,14,22,21,13,12,20,23,19,18,26,25,17,16,24,29,27,28]",71.88,18.75,32.62,40.62
"[0,3,31,30,2,5,1,6,10,11,7,4,8,15,9,12,20,21,13,14,22,19,23,18,26,25,17,16,24,29,27,28]",71.88,18.75,31.64,40.62
"[0,1,5,6,10,11,7,4,8,15,9,14,22,21,13,12,20,23,19,18,26,25,17,16,24,27,29,30,2,3,31,28]",71.88,21.88,31.25,40.62
"[0,5,1,6,10,11,7,4,8,15,9,14,22,21,13,12,20,19,23,18,26,25,17,16,24,27,29,30,2,3,31,28]",71.88,21.88,30.47,40.62
"[0,1,5,6,10,11,7,4,8,15,9,14,22,21,13,12,20,19,23,18,26,25,17,16,24,29,27,30,2,3,31,28]",71.88,21.88,29.88,37.50
"[0,28,27,29,24,16,17,25,26,18,23,19,20,12,13,21,22,14,15,9,10,6,7,11,8,4,5,1,2,30,31,3]",71.88,18.75,29.10,40.62
"[0,5,1,6,10,11,7,4,8,15,9,14,22,21,13,12,20,23,19,18,26,25,17,16,24,27,29,30,2,3,31,28]",71.88,18.75,28.91,40.62
"[0,5,1,6,10,11,7,4,8,15,9,14,22,21,13,12,20,19,23,18,26,25,17,16,24,29,27,30,2,3,31,28]",71.88,18.75,27.54,37.50
"[0,28,27,29,24,16,17,25,26,18,23,19,22,14,13,21,20,12,15,9,10,6,7,11,8,4,5,1,2,30,31,3]",71.88,18.75,26.37,37.50
"[0,3,31,30,2,1,5,4,8,11,7,6,10,9,15,14,22,21,13,12,20,19,23,18,26,25,17,16,24,29,27,28]",68.75,28.12,38.09,50.00
"[0,1,5,4,8,11,7,6,10,9,15,14,22,21,13,12,20,19,23,18,26,25,17,16,24,27,29,30,2,3,31,28]",68.75,31.25,36.72,46.88
"[0,3,31,30,2,1,5,4,8,11,7,6,10,9,15,14,22,21,13,12,20,23,19,18,26,25,17,16,24,29,27,28]",68.75,25.00,36.52,46.88
"[0,3,31,30,2,5,1,6,10,11,7,4,8,9,15,14,22,21,13,12,20,19,23,16,24,25,17,18,26,27,29,28]",68.75,25.00,35.94,43.75
"[0,3,31,30,2,1,5,6,10,11,7,4,8,15,9,14,22,21,13,12,20,19,23,16,24,25,17,18,26,27,29,28]",68.75,25.00,35.94,43.75
"[0,5,1,4,8,11,7,6,10,9,15,14,22,21,13,12,20,19,23,16,24,25,17,18,26,27,29,30,2,3,31,28]",68.75,28.12,35.16,43.75
"[0,1,5,6,10,11,7,4,8,9,15,14,22,21,13,12,20,19,23,18,26,25,17,16,24,27,29,30,2,3,31,28]",68.75,28.12,34.96,43.75
"[0,28,27,29,26,18,17,25,24,16,19,23,20,12,13,21,22,14,9,15,10,6,7,11,8,4,5,1,2,30,31,3]",68.75,25.00,33.01,43.75
"[0,5,1,6,10,11,7,4,8,9,15,14,22,21,13,12,20,19,23,18,26,25,17,16,24,27,29,30,2,3,31,28]",68.75,25.00,32.62,40.62
"[0,1,5,6,10,11,7,4,8,15,9,12,20,21,13,14,22,19,23,18,26,25,17,16,24,27,29,30,2,3,31,28]",68.75,25.00,32.42,40.62
"[0,5,1,4,8,11,7,6,10,9,15,14,22,21,13,12,20,19,23,18,26,25,17,16,24,29,27,30,2,3,31,28]",68.75,25.00,31.45,40.62
"[0,28,27,29,26,18,17,25,24,16,23,19,20,12,13,21,22,14,9,15,10,6,7,11,8,4,5,1,2,30,31,3]",68.75,21.88,31.45,43.75
"[0,5,1,6,10,11,7,4,8,9,15,14,22,21,13,12,20,23,19,18,26,25,17,16,24,27,29,30,2,3,31,28]",68.75,21.88,31.05,40.62
"[0,5,1,6,10,11,7,4,8,15,9,12,20,21,13,14,22,19,23,16,24,25,17,18,26,27,29,30,2,3,31,28]",68.75,21.88,30.86,40.62
"[0,28,27,29,26,18,17,25,24,16,19,23,22,14,13,21,20,12,9,15,10,6,7,11,8,4,5,1,2,30,31,3]",68.75,25.00,30.47,40.62
"[0,28,27,29,26,18,17,25,24,16,19,23,20,12,13,21,22,14,15,9,10,6,7,11,8,4,5,1,2,30,31,3]",68.75,21.88,30.08,40.62
"[0,1,5,6,10,11,7,4,8,15,9,12,20,21,13,14,22,19,23,18,26,25,17,16,24,29,27,30,2,3,31,28]",68.75,21.88,29.49,37.50
"[0,28,27,29,26,18,17,25,24,16,23,19,22,14,13,21,20,12,9,15,10,6,7,11,8,4,5,1,2,30,31,3]",68.75,21.88,28.71,40.62
"[0,28,27,29,24,16,17,25,26,18,23,19,22,14,13,21,20,12,15,9,10,6,7,11,8,4,1,5,2,30,31,3]",68.75,18.75,28.52,40.62
"[0,28,27,29,26,18,17,25,24,16,19,23,22,14,13,21,20,12,15,9,10,6,7,11,8,4,5,1,2,30,31,3]",68.75,21.88,27.54,37.50
"[0,28,27,29,26,18,17,25,24,16,23,19,22,14,13,21,20,12,15,9,10,6,7,11,8,4,5,1,2,30,31,3]",68.75,18.75,25.78,37.50
"[0,3,31,30,2,1,5,6,10,11,7,4,8,9,15,14,22,21,13,12,20,19,23,16,24,25,17,18,26,27,29,28]",65.62,28.12,38.09,46.88
"[0,1,5,4,8,11,7,6,10,9,15,12,20,21,13,14,22,19,23,18,26,25,17,16,24,27,29,30,2,3,31,28]",65.62,31.25,36.33,40.62
"[0,28,31,3,2,30,27,29,24,16,17,25,26,18,23,19,22,14,13,21,20,12,9,15,10,6,7,11,8,4,1,5]",65.62,21.88,32.81,40.62
"[0,28,27,29,26,18,17,25,24,16,19,23,22,14,13,21,20,12,9,15,10,6,7,11,8,4,1,5,2,30,31,3]",65.62,25.00,32.62,43.75
"[0,28,27,29,26,18,17,25,24,16,19,23,22,14,13,21,20,12,15,9,8,4,7,11,10,6,1,5,2,30,31,3]",65.62,25.00,32.23,43.75
"[0,28,27,29,26,18,17,25,24,16,19,23,22,14,13,21,20,12,15,9,10,6,7,11,8,4,1,5,2,30,31,3]",65.62,21.88,29.69,40.62
"[0,28,29,27,26,18,17,25,24,16,23,19,20,12,13,21,22,14,9,15,10,6,7,11,8,4,5,1,2,30,31,3]",65.62,18.75,28.12,37.50
"[0,28,27,29,26,18,17,25,24,16,23,19,22,14,13,21,20,12,15,9,10,6,7,11,8,4,1,5,2,30,31,3]",65.62,18.75,27.93,40.62
"[0,28,29,27,26,18,17,25,24,16,19,23,22,14,13,21,20,12,9,15,10,6,7,11,8,4,5,1,2,30,31,3]",65.62,21.88,27.15,34.38
"[0,28,29,27,26,18,17,25,24,16,19,23,22,14,13,21,20,12,15,9,10,6,7,11,8,4,5,1,2,30,31,3]",65.62,18.75,24.22,31.25
