Alpha,Beta,Rho,Heuristic weight,Random seed,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.10,101,3000,2524,2831.73,2991,0,0.00,0,0.75,4.58,8.73,0.00
1.00,2.00,0.80,0.10,102,3000,2390,2801.70,2986,0,0.00,0,1.48,4.74,9.17,0.00
1.00,2.00,0.80,0.10,103,3000,2005,2739.57,2999,0,0.00,0,2.00,4.91,11.88,0.00
1.00,2.00,0.80,0.20,103,3000,2561,2890.20,2995,0,0.00,0,2.48,5.08,11.08,0.00
1.00,2.00,0.80,0.20,102,3000,1754,2848.23,2999,0,0.00,0,2.75,5.54,10.76,0.00
1.00,2.00,0.80,0.20,101,3000,2308,2891.37,2995,0,0.00,0,2.05,5.91,11.33,0.00
1.00,2.00,0.80,0.30,103,3000,2532,2912.37,2999,0,0.00,0,2.20,6.95,11.95,0.00
1.00,2.00,0.80,0.30,101,3000,1943,2846.20,2999,0,0.00,0,3.49,7.09,14.11,0.00
1.00,2.00,0.80,0.40,103,3000,2789,2942.77,2998,0,0.00,0,2.82,7.19,11.92,0.00
1.00,2.00,0.80,0.30,102,3000,2409,2884.37,2995,0,0.00,0,2.65,7.44,11.95,0.00
1.00,2.00,0.80,0.40,101,3000,2260,2924.57,2996,0,0.00,0,4.00,8.31,13.17,0.00
1.00,2.00,0.80,0.60,103,3000,2552,2958.03,2998,0,0.00,0,3.22,8.35,16.43,0.00
1.00,2.00,0.80,0.50,102,3000,2562,2932.17,2999,0,0.00,0,3.38,8.36,13.19,0.00
1.00,2.00,0.80,0.50,103,3000,2686,2933.47,2998,0,0.00,0,2.59,8.41,15.44,0.00
1.00,2.00,0.80,0.40,102,3000,2585,2923.07,2999,0,0.00,0,2.27,8.42,16.23,0.00
1.00,2.00,0.80,0.50,101,3000,2717,2947.73,2999,0,0.00,0,2.71,8.70,17.52,0.00
1.00,2.00,0.80,0.60,101,3000,2851,2954.40,2998,0,0.00,0,4.34,9.04,13.83,0.00
1.00,2.00,0.80,0.70,101,3000,2856,2946.90,2998,0,0.00,0,3.55,9.44,14.86,0.00
1.00,2.00,0.80,0.80,101,3000,2844,2973.53,2999,0,0.00,0,5.81,9.73,13.71,0.00
1.00,2.00,0.80,0.60,102,3000,2776,2959.10,2998,0,0.00,0,4.96,9.85,17.38,0.00
1.00,2.00,0.80,0.70,102,3000,2778,2950.17,2999,0,0.00,0,4.13,9.90,18.19,0.00
1.00,2.00,0.80,0.80,103,3000,2647,2962.63,2999,0,0.00,0,6.31,9.98,14.85,0.00
1.00,2.00,0.80,0.90,102,3000,2749,2962.40,2999,0,0.00,0,3.74,10.07,16.34,0.00
1.00,2.00,0.80,0.80,102,3000,2697,2951.33,2999,0,0.00,0,5.35,10.08,16.28,0.00
1.00,2.00,0.80,0.70,103,3000,2739,2965.57,2999,0,0.00,0,3.87,10.35,17.23,0.00
1.00,2.00,0.80,0.90,103,3000,2868,2971.60,2999,0,0.00,0,6.99,10.88,15.28,0.00
1.00,2.00,0.80,1.00,103,3000,2853,2970.80,2999,0,0.00,0,5.62,11.10,16.10,0.00
1.00,2.00,0.80,0.90,101,3000,2742,2952.43,2999,0,0.00,0,5.66,11.21,17.79,0.00
1.00,2.00,0.80,1.00,102,3000,2861,2972.80,2999,0,0.00,0,5.85,11.62,17.75,0.00
1.00,2.00,0.80,1.00,101,3000,2366,2937.60,2996,0,0.00,0,6.11,12.58,21.82,0.00
