Root,Thinness score (branch surplus),Max outgoing degree,Branching vertices,Total cost
0,30,6,19,3481
1,30,6,19,3571
2,30,5,20,3817
3,30,6,20,3727
4,31,5,19,3451
5,29,5,19,3571
6,30,5,20,3817
7,31,5,21,3571
8,30,5,20,3451
9,30,5,19,3451
10,30,5,20,3451
11,30,5,20,3451
12,30,5,19,3451
13,30,5,19,3571
14,29,5,19,3817
15,30,5,20,3571
16,29,5,20,3451
17,29,5,18,3571
18,30,5,20,3817
19,29,5,19,3571
20,32,5,20,3451
21,32,5,20,3451
22,32,5,21,3451
23,32,5,20,3451
24,30,5,18,3481
25,30,5,19,3727
26,30,5,20,3817
27,30,5,20,3571
28,29,5,20,3451
29,30,5,19,3571
30,29,5,19,3817
31,29,5,19,3571
32,30,5,19,3451
33,30,5,19,3451
34,30,5,20,3451
35,30,5,19,3451
36,29,5,18,3481
37,29,5,18,3727
38,29,5,19,3817
39,30,5,20,3571
40,29,6,19,3481
41,29,5,19,3571
42,29,5,19,3817
43,29,6,19,3727
44,31,5,20,3175
45,31,5,20,3421
46,30,5,20,3541
47,31,5,21,3421
48,29,5,20,3451
49,29,5,19,3451
50,29,5,19,3451
51,29,5,19,3451
52,30,5,20,3175
53,31,5,20,3421
54,31,5,21,3541
55,30,5,20,3421
56,31,5,20,3175
57,31,5,21,3421
58,31,5,21,3541
59,30,5,20,3421
60,31,5,20,3451
61,31,5,20,3451
62,31,5,20,3451
63,31,5,20,3451
64,30,5,20,3175
65,30,5,20,3421
66,30,5,20,3541
67,30,5,20,3421
68,29,5,19,3451
69,29,5,19,3451
70,29,5,19,3451
71,29,5,19,3451
