From,To,Distance,CMSA,Normalized CMSA,High CMSA,Found-optimal edge
0,11,43.000000,125.000000,1.000000,true,false
1,2,43.000000,125.000000,1.000000,true,false
2,1,43.000000,1.000000,0.008000,false,false
3,9,43.000000,125.000000,1.000000,true,false
4,13,43.000000,125.000000,1.000000,true,false
5,8,43.000000,125.000000,1.000000,true,false
6,125,45.000000,0.000000,0.000000,false,false
7,6,45.000000,0.000000,0.000000,false,false
8,5,43.000000,1.000000,0.008000,false,false
9,12,43.000000,0.000000,0.000000,false,false
10,21,42.000000,125.000000,1.000000,true,false
11,0,43.000000,1.000000,0.008000,false,false
12,3,43.000000,1.000000,0.008000,false,false
13,4,43.000000,1.000000,0.008000,false,false
14,15,43.000000,125.000000,1.000000,true,false
15,94,43.000000,0.000000,0.000000,false,false
16,95,43.000000,0.000000,0.000000,false,false
17,102,43.000000,125.000000,1.000000,true,false
18,22,45.000000,0.000000,0.000000,false,false
19,20,43.000000,125.000000,1.000000,true,false
20,19,43.000000,1.000000,0.008000,false,false
21,10,42.000000,1.000000,0.008000,false,false
22,7,45.000000,0.000000,0.000000,false,false
23,27,82.000000,122.000000,0.976000,false,false
24,25,94.000000,0.000000,0.000000,false,false
25,28,109.000000,0.000000,0.000000,false,false
26,24,102.000000,0.000000,0.000000,false,false
27,23,81.000000,4.000000,0.032000,false,false
28,29,138.000000,0.000000,0.000000,false,false
29,26,130.000000,0.000000,0.000000,false,false
30,31,126.000000,0.000000,0.000000,false,false
31,32,117.000000,0.000000,0.000000,false,false
32,30,124.000000,0.000000,0.000000,false,false
33,34,287.000000,0.000000,0.000000,false,false
34,36,302.000000,0.000000,0.000000,false,false
35,33,292.000000,0.000000,0.000000,false,false
36,35,315.000000,0.000000,0.000000,false,false
37,38,189.000000,0.000000,0.000000,false,false
38,37,190.000000,0.000000,0.000000,false,false
39,40,356.000000,0.000000,0.000000,false,false
40,39,355.000000,0.000000,0.000000,false,false
41,42,239.000000,0.000000,0.000000,false,false
42,43,239.000000,0.000000,0.000000,false,false
43,41,235.000000,0.000000,0.000000,false,false
44,45,477.000000,0.000000,0.000000,false,false
45,44,473.000000,0.000000,0.000000,false,false
46,48,546.000000,0.000000,0.000000,false,false
47,78,856.000000,0.000000,0.000000,false,false
48,46,541.000000,0.000000,0.000000,false,false
49,50,253.000000,0.000000,0.000000,false,false
50,49,262.000000,0.000000,0.000000,false,false
51,52,657.000000,0.000000,0.000000,false,false
52,51,642.000000,0.000000,0.000000,false,false
53,54,1867.000000,0.000000,0.000000,false,false
54,53,1844.000000,0.000000,0.000000,false,false
55,98,42.000000,0.000000,0.000000,false,false
56,57,2785.000000,0.000000,0.000000,false,false
57,56,2751.000000,0.000000,0.000000,false,false
58,59,2869.000000,0.000000,0.000000,false,false
59,58,2882.000000,0.000000,0.000000,false,false
60,61,1987.000000,0.000000,0.000000,false,false
61,60,1999.000000,0.000000,0.000000,false,false
62,63,2856.000000,0.000000,0.000000,false,false
63,62,2856.000000,0.000000,0.000000,false,false
64,66,905.000000,0.000000,0.000000,false,false
65,64,901.000000,0.000000,0.000000,false,false
66,65,870.000000,0.000000,0.000000,false,false
67,68,3912.000000,0.000000,0.000000,false,false
68,67,3942.000000,0.000000,0.000000,false,false
69,70,3860.000000,0.000000,0.000000,false,false
70,69,3864.000000,0.000000,0.000000,false,false
71,72,2724.000000,0.000000,0.000000,false,false
72,71,2728.000000,0.000000,0.000000,false,false
73,74,3846.000000,0.000000,0.000000,false,false
74,73,3849.000000,0.000000,0.000000,false,false
75,76,1138.000000,0.000000,0.000000,false,false
76,77,1073.000000,0.000000,0.000000,false,false
77,75,1103.000000,0.000000,0.000000,false,false
78,47,862.000000,0.000000,0.000000,false,false
79,80,1438.000000,0.000000,0.000000,false,false
80,81,1277.000000,0.000000,0.000000,false,false
81,79,1398.000000,0.000000,0.000000,false,false
82,83,472.000000,0.000000,0.000000,false,false
83,82,476.000000,0.000000,0.000000,false,false
84,91,799.000000,0.000000,0.000000,false,false
85,86,1577.000000,0.000000,0.000000,false,false
86,85,1570.000000,0.000000,0.000000,false,false
87,88,3653.000000,0.000000,0.000000,false,false
88,87,3654.000000,0.000000,0.000000,false,false
89,55,42.000000,0.000000,0.000000,false,false
90,93,89.000000,0.000000,0.000000,false,false
91,84,800.000000,0.000000,0.000000,false,false
92,89,42.000000,0.000000,0.000000,false,false
93,90,89.000000,0.000000,0.000000,false,false
94,14,43.000000,1.000000,0.008000,false,false
95,16,43.000000,0.000000,0.000000,false,false
96,112,888.000000,0.000000,0.000000,false,false
97,100,4300.000000,0.000000,0.000000,false,false
98,92,42.000000,0.000000,0.000000,false,false
99,96,882.000000,0.000000,0.000000,false,false
100,97,4300.000000,0.000000,0.000000,false,false
101,116,42.000000,0.000000,0.000000,false,false
102,17,43.000000,1.000000,0.008000,false,false
103,105,435.000000,0.000000,0.000000,false,false
104,106,464.000000,0.000000,0.000000,false,false
105,104,447.000000,0.000000,0.000000,false,false
106,103,453.000000,0.000000,0.000000,false,false
107,101,42.000000,0.000000,0.000000,false,false
108,111,1186.000000,0.000000,0.000000,false,false
109,110,663.000000,0.000000,0.000000,false,false
110,109,663.000000,0.000000,0.000000,false,false
111,108,1181.000000,0.000000,0.000000,false,false
112,99,806.000000,0.000000,0.000000,false,false
113,115,2738.000000,0.000000,0.000000,false,false
114,113,2398.000000,0.000000,0.000000,false,false
115,114,2516.000000,0.000000,0.000000,false,false
116,107,42.000000,0.000000,0.000000,false,false
117,121,746.000000,0.000000,0.000000,false,false
118,119,527.000000,0.000000,0.000000,false,false
119,120,527.000000,0.000000,0.000000,false,false
120,118,527.000000,0.000000,0.000000,false,false
121,117,748.000000,0.000000,0.000000,false,false
122,124,1149.000000,0.000000,0.000000,false,false
123,122,1029.000000,0.000000,0.000000,false,false
124,123,1131.000000,0.000000,0.000000,false,false
125,18,45.000000,0.000000,0.000000,false,false
