Alpha,Beta,Rho,pBest,pCmsa,Ants fraction,Ants number,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min best deviation,Avg best deviation,Max best deviation,Success rate [%],Avg computation time [ms]
1.00,5.00,0.80,0.05,1.00,0.80,35,122,0,49.62,112,0.00,0.01,0.09,56.00,16
1.00,5.00,0.80,0.05,1.00,1.00,43,100,4,36.04,91,0.00,0.02,0.16,52.00,17
1.00,5.00,0.80,0.05,1.00,0.70,31,138,0,48.90,113,0.00,0.02,0.12,50.00,17
1.00,5.00,0.80,0.05,1.00,0.30,13,330,2,100.90,243,0.00,0.02,0.09,48.00,19
1.00,5.00,0.80,0.05,1.00,0.90,39,110,1,40.68,107,0.00,0.02,0.16,50.00,17
1.00,5.00,0.80,0.05,1.00,0.40,18,238,2,78.90,213,0.00,0.03,0.12,46.00,18
1.00,5.00,0.80,0.05,1.00,0.50,22,195,6,68.76,150,0.00,0.03,0.18,44.00,19
1.00,5.00,0.80,0.05,1.00,0.60,26,165,4,54.46,142,0.00,0.03,0.14,32.00,21
1.00,5.00,0.80,0.05,1.00,0.10,5,860,22,284.46,673,0.00,0.03,0.14,40.00,26
1.00,5.00,0.80,0.05,0.75,0.20,9,477,14,165.52,410,0.00,0.03,0.16,40.00,21
1.00,5.00,0.80,0.05,0.75,0.60,26,165,2,60.84,150,0.00,0.03,0.12,28.00,21
1.00,5.00,0.80,0.05,0.75,0.50,22,195,3,73.68,187,0.00,0.04,0.20,32.00,20
1.00,5.00,0.80,0.05,0.75,1.00,43,100,5,37.86,79,0.00,0.04,0.12,30.00,20
1.00,5.00,0.80,0.05,0.75,0.40,18,238,4,82.56,192,0.00,0.04,0.16,30.00,21
1.00,5.00,0.80,0.05,1.00,0.20,9,477,7,151.78,352,0.00,0.04,0.14,22.00,25
1.00,5.00,0.80,0.05,0.75,0.30,13,330,4,105.50,258,0.00,0.04,0.12,20.00,23
1.00,5.00,0.80,0.05,0.75,0.80,35,122,6,47.02,120,0.00,0.04,0.18,24.00,21
1.00,5.00,0.80,0.05,0.75,0.70,31,138,0,53.72,121,0.00,0.04,0.18,28.00,21
1.00,5.00,0.80,0.05,0.75,0.90,39,110,0,41.66,82,0.00,0.05,0.14,20.00,21
1.00,5.00,0.80,0.05,0.75,0.10,5,860,3,286.52,774,0.00,0.05,0.21,26.00,29
1.00,5.00,0.80,0.05,0.50,0.60,26,165,6,73.02,141,0.00,0.05,0.16,10.00,23
1.00,5.00,0.80,0.05,0.50,0.90,39,110,2,38.86,103,0.00,0.05,0.16,10.00,22
1.00,5.00,0.80,0.05,0.50,1.00,43,100,1,41.72,93,0.00,0.06,0.20,8.00,23
1.00,5.00,0.80,0.05,0.50,0.70,31,138,3,50.32,130,0.00,0.06,0.16,2.00,24
1.00,5.00,0.80,0.05,0.50,0.80,35,122,4,48.12,103,0.02,0.06,0.16,0.00,25
1.00,5.00,0.80,0.05,0.50,0.40,18,238,3,75.58,182,0.00,0.07,0.18,2.00,25
1.00,5.00,0.80,0.05,0.50,0.20,9,477,9,173.00,356,0.02,0.07,0.21,0.00,29
1.00,5.00,0.80,0.05,0.50,0.50,22,195,3,68.80,162,0.00,0.07,0.20,2.00,25
1.00,5.00,0.80,0.05,0.50,0.10,5,860,13,305.10,664,0.00,0.07,0.21,4.00,34
