Tour,Commonality with CMSA,Min commonality with MSA,Avg commonality with MSA,Max commonality with MSA
"[0,15,14,47,7,36,8,40,41,9,42,43,44,11,12,35,20,21,48,49,22,59,23,30,53,31,62,52,51,24,25,63,29,55,33,56,64,38,2,4,39,5,6,57,58,34,32,50,54,28,27,26,19,46,45,10,60,13,16,17,18,61,1,37,3]",78.46,47.69,51.17,55.38
"[0,15,14,47,7,36,8,40,41,9,42,43,44,11,12,35,20,21,48,49,22,59,23,30,53,31,62,52,51,24,25,63,29,55,33,56,64,38,2,4,39,5,6,57,58,34,32,54,28,50,27,26,19,46,45,10,60,13,16,17,18,61,1,37,3]",78.46,46.15,50.79,55.38
"[0,15,14,47,7,36,8,40,41,9,42,43,44,11,12,35,20,21,48,49,22,59,23,30,53,31,62,52,51,24,25,63,29,55,33,64,38,2,4,39,5,6,57,58,34,56,32,50,54,28,27,26,19,46,45,10,60,13,16,17,18,61,1,37,3]",76.92,49.23,52.47,55.38
"[0,15,14,47,7,36,8,40,41,9,42,43,44,11,45,12,35,20,21,48,49,22,59,23,30,53,31,62,52,51,24,25,63,29,55,33,56,64,38,2,4,39,5,6,57,58,34,32,50,54,28,27,26,19,46,10,60,13,16,17,18,61,1,37,3]",76.92,49.23,52.43,56.92
"[0,15,14,47,7,36,8,40,41,9,42,43,44,11,12,35,20,21,48,49,22,59,23,30,53,31,62,52,51,24,25,63,29,55,33,64,38,2,4,39,5,6,57,58,34,56,32,54,28,50,27,26,19,46,45,10,60,13,16,17,18,61,1,37,3]",76.92,47.69,52.09,56.92
"[0,15,14,47,7,36,8,40,41,9,42,43,44,11,45,12,35,20,21,48,49,22,59,23,30,53,31,62,52,51,24,25,63,29,55,33,56,64,38,2,4,39,5,6,57,58,34,32,54,28,50,27,26,19,46,10,60,13,16,17,18,61,1,37,3]",76.92,47.69,52.05,56.92
"[0,15,14,47,7,36,8,40,41,9,42,43,44,11,12,35,20,21,48,49,22,23,59,25,63,29,55,53,31,62,52,51,24,30,33,56,64,38,2,4,39,5,6,57,58,34,32,50,54,28,27,26,19,46,45,10,60,13,16,17,18,61,1,37,3]",76.92,47.69,51.12,55.38
"[0,15,14,47,7,36,8,40,41,9,42,43,44,11,12,35,20,21,48,49,22,23,59,25,63,29,55,53,31,62,52,51,24,30,33,56,64,38,2,4,39,5,6,57,58,34,32,54,28,50,27,26,19,46,45,10,60,13,16,17,18,61,1,37,3]",76.92,46.15,50.75,55.38
"[0,15,14,47,7,36,8,40,41,9,42,43,44,11,12,35,20,21,48,49,22,59,23,30,53,31,62,52,51,24,25,63,29,55,33,56,64,38,2,4,39,5,6,57,58,34,32,28,50,54,27,26,19,46,45,10,60,13,16,17,18,61,1,37,3]",76.92,46.15,50.56,55.38
"[0,15,14,47,7,36,8,40,41,9,42,43,44,11,12,35,20,21,48,49,22,59,23,30,53,31,62,52,51,24,25,63,29,55,33,56,64,38,2,4,39,5,6,57,58,34,32,54,50,28,27,26,19,46,45,10,60,13,16,17,18,61,1,37,3]",76.92,46.15,50.18,53.85
"[0,15,14,47,7,36,8,40,41,9,42,43,44,11,12,35,20,21,48,23,49,22,59,25,63,29,55,53,31,62,52,51,24,30,33,56,64,38,2,4,39,5,6,57,58,34,32,50,54,28,27,26,19,46,45,10,60,13,16,17,18,61,1,37,3]",76.92,46.15,49.70,53.85
"[0,15,14,47,7,36,8,40,41,9,42,43,44,11,12,35,20,21,48,23,49,22,59,25,63,29,55,53,31,62,52,51,24,30,33,56,64,38,2,4,39,5,6,57,58,34,32,54,28,50,27,26,19,46,45,10,60,13,16,17,18,61,1,37,3]",76.92,44.62,49.33,53.85
"[0,15,14,47,7,36,8,40,41,9,42,43,44,11,45,12,35,20,21,48,49,22,59,23,30,53,31,62,52,51,24,25,63,29,55,33,64,38,2,4,39,5,6,57,58,34,56,32,50,54,28,27,26,19,46,10,60,13,16,17,18,61,1,37,3]",75.38,50.77,53.73,56.92
