Alpha,Beta,Rho,pBest,CMSA impact on initial pheromones,CMSA edge selection probability,Best at iteration,Best length,Deviation,Success rate,Commonality with CMSA,Computation time [ms]
1.00,5.00,0.80,0.05,0.00,0.00,616,2768,4.19,0.00,72.94,7834
1.00,5.00,0.80,0.05,0.04,0.00,138,2761,5.17,0.00,74.71,7778
1.00,5.00,0.80,0.05,0.08,0.00,514,2778,4.86,0.00,72.94,7771
1.00,5.00,0.80,0.05,0.12,0.00,455,2788,4.39,0.00,74.71,7763
1.00,5.00,0.80,0.05,0.16,0.00,286,2788,4.88,0.00,75.29,7765
1.00,5.00,0.80,0.05,0.20,0.00,413,2758,4.83,0.00,74.12,7757
1.00,5.00,0.80,0.05,0.24,0.00,680,2765,4.74,0.00,72.94,7772
1.00,5.00,0.80,0.05,0.28,0.00,276,2792,4.96,0.00,80.59,7770
1.00,5.00,0.80,0.05,0.32,0.00,340,2758,5.18,0.00,74.12,7772
1.00,5.00,0.80,0.05,0.36,0.00,763,2789,4.44,0.00,75.29,7818
1.00,5.00,0.80,0.05,0.40,0.00,628,2792,5.21,0.00,80.00,7939
1.00,5.00,0.80,0.05,0.44,0.00,533,2764,5.23,0.00,74.71,8036
1.00,5.00,0.80,0.05,0.48,0.00,653,2770,4.48,0.00,74.71,7927
1.00,5.00,0.80,0.05,0.52,0.00,154,2788,4.54,0.00,71.76,7799
1.00,5.00,0.80,0.05,0.56,0.00,454,2778,5.05,0.00,74.71,7887
1.00,5.00,0.80,0.05,0.60,0.00,325,2768,4.66,0.00,73.53,7975
1.00,5.00,0.80,0.05,0.64,0.00,517,2761,4.80,0.00,75.88,8007
1.00,5.00,0.80,0.05,0.68,0.00,696,2783,4.57,0.00,77.65,7933
1.00,5.00,0.80,0.05,0.72,0.00,462,2764,4.78,0.00,75.29,7918
1.00,5.00,0.80,0.05,0.76,0.00,409,2758,4.57,0.00,74.71,7938
1.00,5.00,0.80,0.05,0.80,0.00,540,2761,4.89,0.00,75.88,7990
1.00,5.00,0.80,0.05,0.84,0.00,834,2765,4.81,0.00,72.94,7909
1.00,5.00,0.80,0.05,0.88,0.00,397,2789,4.99,0.00,73.53,7877
1.00,5.00,0.80,0.05,0.92,0.00,215,2764,4.69,0.00,75.88,7875
1.00,5.00,0.80,0.05,0.96,0.00,376,2787,5.08,0.00,78.24,7873
