Alpha,Beta,Rho,pBest,CMSA impact on initial pheromones,CMSA edge selection probability,Best at iteration,Best length,Deviation,Success rate,Commonality with CMSA,Computation time [ms]
1.00,5.00,0.80,0.05,0.00,0.00,38,1608,0.00,100.00,74.55,58
1.00,5.00,0.80,0.05,0.00,0.25,108,1608,0.01,96.00,72.73,127
1.00,5.00,0.80,0.05,0.00,0.50,287,1608,0.04,82.00,78.18,278
1.00,5.00,0.80,0.05,0.00,0.75,353,1608,0.03,88.00,72.73,374
1.00,5.00,0.80,0.05,0.00,1.00,204,1608,0.03,86.00,74.55,431
1.00,5.00,0.80,0.05,0.25,0.00,121,1608,0.03,98.00,70.91,72
1.00,5.00,0.80,0.05,0.25,0.25,61,1608,0.00,98.00,72.73,106
1.00,5.00,0.80,0.05,0.25,0.50,115,1608,0.01,96.00,74.55,243
1.00,5.00,0.80,0.05,0.25,0.75,311,1608,0.03,88.00,78.18,358
1.00,5.00,0.80,0.05,0.25,1.00,353,1608,0.05,78.00,69.09,431
1.00,5.00,0.80,0.05,0.50,0.00,27,1608,0.03,96.00,74.55,81
1.00,5.00,0.80,0.05,0.50,0.25,391,1608,0.01,98.00,72.73,164
1.00,5.00,0.80,0.05,0.50,0.50,129,1608,0.02,92.00,72.73,285
1.00,5.00,0.80,0.05,0.50,0.75,281,1608,0.03,90.00,72.73,351
1.00,5.00,0.80,0.05,0.50,1.00,397,1608,0.03,88.00,72.73,414
1.00,5.00,0.80,0.05,0.75,0.00,80,1608,0.00,100.00,74.55,61
1.00,5.00,0.80,0.05,0.75,0.25,197,1608,0.01,96.00,69.09,139
1.00,5.00,0.80,0.05,0.75,0.50,113,1608,0.01,94.00,74.55,274
1.00,5.00,0.80,0.05,0.75,0.75,327,1608,0.02,92.00,70.91,346
1.00,5.00,0.80,0.05,0.75,1.00,352,1608,0.04,84.00,74.55,414
1.00,5.00,0.80,0.05,1.00,0.00,6,1608,0.02,98.00,70.91,78
1.00,5.00,0.80,0.05,1.00,0.25,343,1608,0.00,98.00,78.18,142
1.00,5.00,0.80,0.05,1.00,0.50,88,1608,0.03,86.00,76.36,247
1.00,5.00,0.80,0.05,1.00,0.75,217,1608,0.05,80.00,76.36,397
1.00,5.00,0.80,0.05,1.00,1.00,292,1608,0.04,82.00,74.55,434
