Alpha,Beta,Rho,pBest,CMSA impact on initial pheromones,CMSA edge selection probability,Best at iteration,Best length,Deviation,Success rate,Commonality with CMSA,Computation time [ms]
1.00,5.00,0.80,0.05,0.00,0.00,5,1473,0.16,56.00,68.57,13
1.00,5.00,0.80,0.05,0.00,0.25,8,1473,0.06,72.00,74.29,11
1.00,5.00,0.80,0.05,0.00,0.50,8,1473,0.01,96.00,68.57,6
1.00,5.00,0.80,0.05,0.00,0.75,17,1473,0.00,100.00,71.43,8
1.00,5.00,0.80,0.05,0.00,1.00,36,1473,0.00,98.00,71.43,13
1.00,5.00,0.80,0.05,0.25,0.00,16,1473,0.09,52.00,68.57,13
1.00,5.00,0.80,0.05,0.25,0.25,56,1473,0.06,86.00,68.57,8
1.00,5.00,0.80,0.05,0.25,0.50,25,1473,0.00,98.00,71.43,5
1.00,5.00,0.80,0.05,0.25,0.75,27,1473,0.00,100.00,71.43,7
1.00,5.00,0.80,0.05,0.25,1.00,37,1473,0.00,100.00,71.43,12
1.00,5.00,0.80,0.05,0.50,0.00,14,1473,0.23,38.00,71.43,16
1.00,5.00,0.80,0.05,0.50,0.25,6,1473,0.03,78.00,71.43,9
1.00,5.00,0.80,0.05,0.50,0.50,4,1473,0.03,92.00,71.43,7
1.00,5.00,0.80,0.05,0.50,0.75,14,1473,0.00,100.00,74.29,7
1.00,5.00,0.80,0.05,0.50,1.00,30,1473,0.01,96.00,71.43,13
1.00,5.00,0.80,0.05,0.75,0.00,41,1473,0.23,50.00,71.43,14
1.00,5.00,0.80,0.05,0.75,0.25,16,1473,0.04,78.00,71.43,9
1.00,5.00,0.80,0.05,0.75,0.50,5,1473,0.01,94.00,71.43,7
1.00,5.00,0.80,0.05,0.75,0.75,10,1473,0.00,98.00,68.57,8
1.00,5.00,0.80,0.05,0.75,1.00,45,1473,0.00,98.00,71.43,13
1.00,5.00,0.80,0.05,1.00,0.00,8,1473,0.16,52.00,71.43,15
1.00,5.00,0.80,0.05,1.00,0.25,8,1473,0.04,82.00,71.43,8
1.00,5.00,0.80,0.05,1.00,0.50,22,1473,0.01,94.00,71.43,6
1.00,5.00,0.80,0.05,1.00,0.75,27,1473,0.00,100.00,71.43,8
1.00,5.00,0.80,0.05,1.00,1.00,50,1473,0.00,100.00,71.43,13
