Alpha,Beta,Rho,pBest,CMSA impact on initial pheromones,CMSA edge selection probability,Best at iteration,Best length,Deviation,Success rate,Commonality with CMSA,Computation time [ms]
1.00,5.00,0.80,0.05,0.00,0.00,66,1848,1.60,0.00,73.44,336
1.00,5.00,0.80,0.05,0.04,0.00,216,1839,2.23,4.00,70.31,330
1.00,5.00,0.80,0.05,0.08,0.00,497,1839,2.16,4.00,71.88,329
1.00,5.00,0.80,0.05,0.12,0.00,289,1848,1.77,0.00,73.44,337
1.00,5.00,0.80,0.05,0.16,0.00,46,1839,1.72,6.00,76.56,319
1.00,5.00,0.80,0.05,0.20,0.00,191,1839,2.06,8.00,78.12,320
1.00,5.00,0.80,0.05,0.24,0.00,182,1839,2.13,6.00,76.56,329
1.00,5.00,0.80,0.05,0.28,0.00,155,1839,2.03,4.00,76.56,327
1.00,5.00,0.80,0.05,0.32,0.00,163,1839,1.69,2.00,75.00,331
1.00,5.00,0.80,0.05,0.36,0.00,85,1839,1.54,4.00,78.12,325
1.00,5.00,0.80,0.05,0.40,0.00,131,1839,1.72,6.00,78.12,327
1.00,5.00,0.80,0.05,0.44,0.00,400,1839,2.08,6.00,68.75,324
1.00,5.00,0.80,0.05,0.48,0.00,162,1839,2.01,4.00,75.00,329
1.00,5.00,0.80,0.05,0.52,0.00,125,1839,1.56,6.00,71.88,329
1.00,5.00,0.80,0.05,0.56,0.00,225,1839,1.53,6.00,78.12,326
1.00,5.00,0.80,0.05,0.60,0.00,349,1839,1.70,4.00,75.00,329
1.00,5.00,0.80,0.05,0.64,0.00,339,1839,1.92,4.00,75.00,330
1.00,5.00,0.80,0.05,0.68,0.00,392,1839,1.61,6.00,78.12,331
1.00,5.00,0.80,0.05,0.72,0.00,428,1839,1.65,4.00,75.00,329
1.00,5.00,0.80,0.05,0.76,0.00,395,1839,1.74,2.00,75.00,333
1.00,5.00,0.80,0.05,0.80,0.00,282,1839,2.39,2.00,78.12,336
1.00,5.00,0.80,0.05,0.84,0.00,40,1839,1.83,4.00,73.44,327
1.00,5.00,0.80,0.05,0.88,0.00,341,1839,1.80,6.00,71.88,321
1.00,5.00,0.80,0.05,0.92,0.00,84,1839,2.33,2.00,73.44,329
1.00,5.00,0.80,0.05,0.96,0.00,281,1839,1.30,6.00,78.12,326
