Alpha,Beta,Rho,pBest,CMSA impact on initial pheromones,CMSA edge selection probability,Best at iteration,Best length,Deviation,Success rate,Commonality with CMSA,Computation time [ms]
1.00,5.00,0.80,0.05,0.00,0.00,43,1776,0.22,28.00,65.96,61
1.00,5.00,0.80,0.05,0.00,0.25,55,1776,0.12,54.00,65.96,64
1.00,5.00,0.80,0.05,0.00,0.50,74,1776,0.13,40.00,65.96,80
1.00,5.00,0.80,0.05,0.00,0.75,82,1776,0.16,30.00,63.83,90
1.00,5.00,0.80,0.05,0.00,1.00,93,1776,0.24,32.00,63.83,93
1.00,5.00,0.80,0.05,0.25,0.00,38,1776,0.23,34.00,63.83,55
1.00,5.00,0.80,0.05,0.25,0.25,62,1776,0.14,48.00,63.83,64
1.00,5.00,0.80,0.05,0.25,0.50,87,1776,0.19,26.00,65.96,83
1.00,5.00,0.80,0.05,0.25,0.75,72,1776,0.23,22.00,65.96,89
1.00,5.00,0.80,0.05,0.25,1.00,85,1776,0.27,16.00,63.83,95
1.00,5.00,0.80,0.05,0.50,0.00,12,1776,0.22,32.00,63.83,58
1.00,5.00,0.80,0.05,0.50,0.25,54,1776,0.12,46.00,65.96,63
1.00,5.00,0.80,0.05,0.50,0.50,68,1776,0.17,34.00,63.83,80
1.00,5.00,0.80,0.05,0.50,0.75,75,1776,0.26,14.00,65.96,91
1.00,5.00,0.80,0.05,0.50,1.00,84,1776,0.27,14.00,65.96,96
1.00,5.00,0.80,0.05,0.75,0.00,93,1776,0.13,38.00,61.70,55
1.00,5.00,0.80,0.05,0.75,0.25,36,1776,0.12,50.00,68.09,59
1.00,5.00,0.80,0.05,0.75,0.50,75,1776,0.15,40.00,65.96,80
1.00,5.00,0.80,0.05,0.75,0.75,96,1776,0.23,24.00,63.83,89
1.00,5.00,0.80,0.05,0.75,1.00,92,1776,0.15,28.00,65.96,94
1.00,5.00,0.80,0.05,1.00,0.00,39,1776,0.20,36.00,63.83,58
1.00,5.00,0.80,0.05,1.00,0.25,62,1776,0.15,46.00,65.96,61
1.00,5.00,0.80,0.05,1.00,0.50,82,1776,0.13,44.00,68.09,81
1.00,5.00,0.80,0.05,1.00,0.75,64,1776,0.17,28.00,61.70,89
1.00,5.00,0.80,0.05,1.00,1.00,95,1776,0.24,24.00,68.09,93
