Alpha,Beta,Rho,pBest,CMSA impact on initial pheromones,CMSA edge selection probability,Best at iteration,Best length,Deviation,Success rate,Commonality with CMSA,Computation time [ms]
1.00,5.00,0.80,0.05,0.00,0.00,218,1608,2.38,18.00,72.73,204
1.00,5.00,0.80,0.05,0.04,0.00,44,1608,2.41,12.00,74.55,211
1.00,5.00,0.80,0.05,0.08,0.00,21,1608,2.67,8.00,74.55,219
1.00,5.00,0.80,0.05,0.12,0.00,67,1608,2.65,4.00,74.55,222
1.00,5.00,0.80,0.05,0.16,0.00,242,1608,2.38,14.00,74.55,214
1.00,5.00,0.80,0.05,0.20,0.00,310,1608,2.81,4.00,72.73,230
1.00,5.00,0.80,0.05,0.24,0.00,47,1608,2.67,14.00,74.55,214
1.00,5.00,0.80,0.05,0.28,0.00,66,1608,1.62,24.00,74.55,193
1.00,5.00,0.80,0.05,0.32,0.00,433,1608,2.31,18.00,76.36,210
1.00,5.00,0.80,0.05,0.36,0.00,103,1608,1.83,12.00,74.55,209
1.00,5.00,0.80,0.05,0.40,0.00,288,1608,2.33,16.00,76.36,212
1.00,5.00,0.80,0.05,0.44,0.00,20,1608,2.19,12.00,74.55,218
1.00,5.00,0.80,0.05,0.48,0.00,422,1608,2.30,16.00,70.91,212
1.00,5.00,0.80,0.05,0.52,0.00,42,1608,2.75,8.00,72.73,218
1.00,5.00,0.80,0.05,0.56,0.00,298,1608,2.70,6.00,74.55,224
1.00,5.00,0.80,0.05,0.60,0.00,364,1608,2.14,14.00,76.36,214
1.00,5.00,0.80,0.05,0.64,0.00,80,1608,1.92,18.00,74.55,212
1.00,5.00,0.80,0.05,0.68,0.00,103,1608,1.85,16.00,76.36,220
1.00,5.00,0.80,0.05,0.72,0.00,58,1608,2.19,14.00,76.36,209
1.00,5.00,0.80,0.05,0.76,0.00,88,1608,2.64,12.00,76.36,213
1.00,5.00,0.80,0.05,0.80,0.00,59,1608,2.20,18.00,76.36,209
1.00,5.00,0.80,0.05,0.84,0.00,52,1608,1.90,12.00,74.55,212
1.00,5.00,0.80,0.05,0.88,0.00,40,1608,2.29,18.00,76.36,206
1.00,5.00,0.80,0.05,0.92,0.00,145,1608,2.58,10.00,72.73,220
1.00,5.00,0.80,0.05,0.96,0.00,158,1608,2.11,8.00,74.55,220
