Used local search,Alpha,Beta,Rho,pBest,CMSA probability,Best at iteration,Best length,Deviation,Success rate,Commonality with CMSA,Computation time [ms]
false,1.00,5.00,0.80,0.05,0.00,807,1423.00,10.618401,0.00,68.322981,175616
false,1.00,5.00,0.80,0.05,0.25,997,1493.00,15.855204,0.00,69.875776,185856
false,1.00,5.00,0.80,0.05,0.50,951,1506.00,17.087481,0.00,72.360248,195388
false,1.00,5.00,0.80,0.05,0.75,996,1507.00,17.903469,0.00,70.186335,203120
false,1.00,5.00,0.80,0.05,1.00,993,1524.00,18.476621,0.00,70.807453,210206
true,1.00,5.00,0.80,0.05,0.00,466,1406.00,7.570136,0.00,68.633540,409364
true,1.00,5.00,0.80,0.05,0.25,915,1438.00,10.067873,0.00,69.254658,438501
true,1.00,5.00,0.80,0.05,0.50,992,1429.00,10.853695,0.00,69.565217,453870
true,1.00,5.00,0.80,0.05,0.75,980,1438.00,11.156863,0.00,71.118012,467372
true,1.00,5.00,0.80,0.05,1.00,994,1447.00,11.346908,0.00,68.944099,479000
