Alpha,Beta,Rho,Heuristic weight,Random seed,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.10,103,2160,548,1613.40,2109,0,0.00,0,0.00,1.72,4.54,6.67
1.00,2.00,0.80,0.20,102,2160,915,1650.50,2140,0,0.00,0,0.00,2.25,4.54,3.33
1.00,2.00,0.80,0.10,101,2160,646,1511.40,2133,0,0.00,0,0.00,2.32,4.54,13.33
1.00,2.00,0.80,0.10,102,2160,650,1518.83,2100,0,0.00,0,0.00,2.61,4.54,6.67
1.00,2.00,0.80,0.20,103,2160,825,1562.00,2127,0,0.00,0,0.00,2.89,4.54,3.33
1.00,2.00,0.80,0.40,102,2160,1386,1946.23,2159,0,0.00,0,0.15,3.05,5.07,0.00
1.00,2.00,0.80,0.20,101,2160,903,1771.90,2148,0,0.00,0,0.08,3.23,4.57,0.00
1.00,2.00,0.80,0.30,103,2160,895,1779.73,2133,0,0.00,0,0.15,3.34,4.61,0.00
1.00,2.00,0.80,0.30,102,2160,989,1813.07,2151,0,0.00,0,0.15,3.58,4.54,0.00
1.00,2.00,0.80,0.40,103,2160,1336,1884.50,2157,0,0.00,0,0.15,3.67,5.22,0.00
1.00,2.00,0.80,0.50,103,2160,1430,1961.40,2153,0,0.00,0,0.15,3.68,5.67,0.00
1.00,2.00,0.80,0.50,102,2160,1175,1929.23,2129,0,0.00,0,0.15,3.69,5.22,0.00
1.00,2.00,0.80,0.60,102,2160,1414,1974.40,2158,0,0.00,0,0.23,4.06,5.30,0.00
1.00,2.00,0.80,0.30,101,2160,1115,1795.70,2154,0,0.00,0,0.15,4.13,4.69,0.00
1.00,2.00,0.80,0.70,102,2160,1796,1989.30,2155,0,0.00,0,0.23,4.20,5.30,0.00
1.00,2.00,0.80,0.60,103,2160,1793,2044.83,2155,0,0.00,0,0.38,4.21,7.06,0.00
1.00,2.00,0.80,0.80,102,2160,1721,1995.37,2145,0,0.00,0,0.15,4.21,5.60,0.00
1.00,2.00,0.80,0.80,103,2160,1786,2026.70,2157,0,0.00,0,0.15,4.22,6.91,0.00
1.00,2.00,0.80,0.50,101,2160,1688,1995.50,2146,0,0.00,0,0.30,4.28,5.60,0.00
1.00,2.00,0.80,1.00,103,2160,1885,2073.20,2155,0,0.00,0,0.15,4.31,7.93,0.00
1.00,2.00,0.80,0.40,101,2160,1510,1946.07,2152,0,0.00,0,0.84,4.33,4.76,0.00
1.00,2.00,0.80,0.70,103,2160,1699,2035.27,2159,0,0.00,0,0.15,4.35,7.63,0.00
1.00,2.00,0.80,0.90,103,2160,1800,2045.67,2153,0,0.00,0,0.38,4.37,5.45,0.00
1.00,2.00,0.80,0.70,101,2160,1524,1999.40,2159,0,0.00,0,0.08,4.41,7.63,0.00
1.00,2.00,0.80,0.60,101,2160,1641,2019.57,2156,0,0.00,0,3.85,4.50,5.22,0.00
1.00,2.00,0.80,0.80,101,2160,1721,2014.33,2159,0,0.00,0,0.38,4.52,5.67,0.00
1.00,2.00,0.80,0.90,101,2160,1615,2022.47,2156,0,0.00,0,0.23,4.65,6.83,0.00
1.00,2.00,0.80,0.90,102,2160,1706,2041.47,2157,0,0.00,0,0.46,4.65,7.63,0.00
1.00,2.00,0.80,1.00,102,2160,1824,2072.07,2151,0,0.00,0,3.59,4.72,5.75,0.00
1.00,2.00,0.80,1.00,101,2160,1857,2055.30,2157,0,0.00,0,2.58,4.73,8.77,0.00
