Alpha,Beta,Rho,Heuristic weight,Random seed,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.20,1,2160,905,1671.57,2148,0,0.00,0,0.08,1.40,4.61,0.00
1.00,2.00,0.80,0.40,3,2160,893,1838.50,2131,0,0.00,0,0.08,1.88,4.54,0.00
1.00,2.00,0.80,0.10,1,2160,568,1542.87,2154,0,0.00,0,0.00,1.89,4.54,13.33
1.00,2.00,0.80,0.30,1,2160,766,1818.57,2152,0,0.00,0,0.00,1.95,5.07,6.67
1.00,2.00,0.80,0.10,2,2160,758,1660.80,2157,0,0.00,0,0.08,2.16,4.46,0.00
1.00,2.00,0.80,0.40,1,2160,860,1819.00,2138,0,0.00,0,0.00,2.32,5.07,3.33
1.00,2.00,0.80,0.30,3,2160,1042,1743.90,2137,0,0.00,0,0.08,2.38,4.54,0.00
1.00,2.00,0.80,0.70,1,2160,919,1974.17,2154,0,0.00,0,0.00,2.46,5.67,3.33
1.00,2.00,0.80,0.10,3,2160,506,1465.53,2148,0,0.00,0,0.00,2.48,4.46,3.33
1.00,2.00,0.80,0.20,3,2160,1113,1641.07,2078,0,0.00,0,0.08,2.54,4.61,0.00
1.00,2.00,0.80,0.50,1,2160,1154,1981.00,2156,0,0.00,0,0.08,2.56,5.07,0.00
1.00,2.00,0.80,0.50,3,2160,1295,1874.40,2159,0,0.00,0,0.08,2.61,5.67,0.00
1.00,2.00,0.80,0.60,1,2160,599,1880.37,2159,0,0.00,0,0.00,2.91,6.76,3.33
1.00,2.00,0.80,0.60,3,2160,1537,1958.30,2158,0,0.00,0,0.15,3.01,5.60,0.00
1.00,2.00,0.80,0.20,2,2160,1132,1813.43,2153,0,0.00,0,0.08,3.04,5.14,0.00
1.00,2.00,0.80,0.80,1,2160,1585,1982.07,2155,0,0.00,0,0.08,3.04,7.63,0.00
1.00,2.00,0.80,0.70,3,2160,1371,1978.33,2149,0,0.00,0,0.08,3.44,6.76,0.00
1.00,2.00,0.80,0.30,2,2160,1332,1929.57,2155,0,0.00,0,0.15,3.61,5.14,0.00
1.00,2.00,0.80,0.40,2,2160,1536,1939.10,2157,0,0.00,0,0.08,3.77,5.22,0.00
1.00,2.00,0.80,0.90,1,2160,1696,2023.97,2159,0,0.00,0,0.15,3.91,6.76,0.00
1.00,2.00,0.80,0.60,2,2160,1686,2008.63,2155,0,0.00,0,0.15,4.05,6.76,0.00
1.00,2.00,0.80,0.50,2,2160,1632,1998.80,2154,0,0.00,0,0.15,4.10,5.60,0.00
1.00,2.00,0.80,0.90,3,2160,1412,1999.53,2158,0,0.00,0,0.15,4.16,8.69,0.00
1.00,2.00,0.80,1.00,3,2160,1799,2088.20,2159,0,0.00,0,0.30,4.21,7.06,0.00
1.00,2.00,0.80,0.70,2,2160,1751,2031.10,2159,0,0.00,0,0.30,4.31,6.76,0.00
1.00,2.00,0.80,1.00,1,2160,1736,1998.00,2158,0,0.00,0,0.23,4.32,7.78,0.00
1.00,2.00,0.80,0.80,3,2160,1523,2032.67,2158,0,0.00,0,0.23,4.34,6.83,0.00
1.00,2.00,0.80,0.80,2,2160,1858,2068.70,2159,0,0.00,0,0.38,4.51,6.91,0.00
1.00,2.00,0.80,1.00,2,2160,1807,2082.77,2156,0,0.00,0,0.30,4.95,7.21,0.00
1.00,2.00,0.80,0.90,2,2160,1697,2091.80,2159,0,0.00,0,2.88,4.96,7.82,0.00
