From,To,Distance,MSA support,Normalized MSA support,High MSA support,Found-optimal edge
0,3,19.000000,89.000000,0.988889,false,false
1,2,6.000000,89.000000,0.988889,false,true
2,1,6.000000,2.000000,0.022222,false,false
3,4,20.000000,90.000000,1.000000,true,true
4,5,11.000000,90.000000,1.000000,true,true
5,6,56.000000,0.000000,0.000000,false,true
6,7,10.000000,90.000000,1.000000,true,true
7,8,20.000000,90.000000,1.000000,true,true
8,9,16.000000,90.000000,1.000000,true,true
9,10,9.000000,90.000000,1.000000,true,true
10,76,12.000000,90.000000,1.000000,true,true
11,12,14.000000,90.000000,1.000000,true,true
12,13,14.000000,0.000000,0.000000,false,true
13,17,10.000000,87.000000,0.966667,false,true
14,15,16.000000,0.000000,0.000000,false,true
15,16,14.000000,90.000000,1.000000,true,true
16,21,32.000000,0.000000,0.000000,false,false
17,18,11.000000,50.000000,0.555556,false,true
18,19,10.000000,90.000000,1.000000,true,true
19,20,9.000000,90.000000,1.000000,true,true
20,32,22.000000,0.000000,0.000000,false,false
21,29,17.000000,0.000000,0.000000,false,true
22,23,11.000000,88.000000,0.977778,false,false
23,24,22.000000,90.000000,1.000000,true,true
24,25,11.000000,90.000000,1.000000,true,true
25,14,84.000000,0.000000,0.000000,false,true
26,27,13.000000,90.000000,1.000000,true,false
27,26,13.000000,0.000000,0.000000,false,true
28,30,15.000000,90.000000,1.000000,true,false
29,22,11.000000,4.000000,0.044444,false,true
30,28,15.000000,1.000000,0.011111,false,true
31,33,11.000000,90.000000,1.000000,true,false
32,36,18.000000,0.000000,0.000000,false,true
33,31,11.000000,1.000000,0.011111,false,true
34,35,12.000000,90.000000,1.000000,true,true
35,34,12.000000,1.000000,0.011111,false,true
36,37,29.000000,0.000000,0.000000,false,false
37,38,20.000000,1.000000,0.011111,false,true
38,39,10.000000,2.000000,0.022222,false,true
39,40,12.000000,5.000000,0.055556,false,true
40,44,25.000000,0.000000,0.000000,false,false
41,42,25.000000,90.000000,1.000000,true,true
42,41,25.000000,1.000000,0.011111,false,false
43,55,8.000000,90.000000,1.000000,true,true
44,45,10.000000,8.000000,0.088889,false,true
45,46,11.000000,90.000000,1.000000,true,true
46,47,11.000000,90.000000,1.000000,true,true
47,48,13.000000,90.000000,1.000000,true,true
48,51,11.000000,90.000000,1.000000,true,true
49,73,16.000000,79.000000,0.877778,false,true
50,49,14.000000,25.000000,0.277778,false,true
51,52,11.000000,90.000000,1.000000,true,true
52,53,14.000000,87.000000,0.966667,false,true
53,43,14.000000,90.000000,1.000000,true,true
54,58,19.000000,90.000000,1.000000,true,true
55,54,21.000000,90.000000,1.000000,true,true
56,57,22.000000,3.000000,0.033333,false,true
57,62,8.000000,90.000000,1.000000,true,true
58,59,9.000000,90.000000,1.000000,true,true
59,60,12.000000,69.000000,0.766667,false,true
60,50,15.000000,24.000000,0.266667,false,true
61,68,11.000000,90.000000,1.000000,true,false
62,63,25.000000,0.000000,0.000000,false,false
63,64,19.000000,89.000000,0.988889,false,true
64,56,15.000000,90.000000,1.000000,true,true
65,88,50.000000,2.000000,0.022222,false,true
66,65,13.000000,90.000000,1.000000,true,true
67,66,14.000000,90.000000,1.000000,true,true
68,67,13.000000,89.000000,0.988889,false,true
69,85,18.000000,0.000000,0.000000,false,true
70,69,15.000000,0.000000,0.000000,false,true
71,61,33.000000,0.000000,0.000000,false,false
72,78,12.000000,1.000000,0.011111,false,true
73,77,13.000000,80.000000,0.888889,false,true
74,75,19.000000,3.000000,0.033333,false,true
75,11,17.000000,90.000000,1.000000,true,true
76,74,16.000000,2.000000,0.022222,false,true
77,72,25.000000,0.000000,0.000000,false,true
78,82,8.000000,82.000000,0.911111,false,true
79,80,7.000000,84.000000,0.933333,false,true
80,81,9.000000,85.000000,0.944444,false,true
81,0,13.000000,0.000000,0.000000,false,true
82,79,11.000000,83.000000,0.922222,false,true
83,84,12.000000,90.000000,1.000000,true,true
84,71,19.000000,90.000000,1.000000,true,true
85,86,7.000000,90.000000,1.000000,true,true
86,83,15.000000,90.000000,1.000000,true,true
87,70,14.000000,6.000000,0.066667,false,true
88,87,24.000000,5.000000,0.055556,false,false
89,90,7.000000,90.000000,1.000000,true,true
90,89,7.000000,1.000000,0.011111,false,false
