Tour,Commonality with CMSA,Min commonality with MSA,Avg commonality with MSA,Max commonality with MSA
"[0,1,2,3,4,5,6,7,8,9,10,76,74,75,11,12,13,29,22,21,32,36,33,31,30,28,27,26,23,24,25,14,15,16,17,18,19,20,37,38,39,40,34,35,41,42,44,45,46,47,48,51,52,53,43,55,54,58,59,68,67,66,63,64,56,57,62,61,65,88,89,90,96,97,99,100,98,95,94,92,93,91,87,70,69,85,86,83,84,71,60,50,49,73,77,72,78,82,79,80,81]",75.25,42.57,50.24,57.43
"[0,1,2,3,4,5,6,7,8,9,10,76,74,75,11,12,13,29,22,21,32,36,33,31,30,28,27,26,23,24,25,14,15,16,17,18,19,20,37,38,39,40,35,34,41,42,44,45,46,47,48,51,52,53,43,55,54,58,59,68,67,66,63,64,56,57,62,61,65,88,89,90,96,97,99,100,98,95,94,92,93,91,87,70,69,85,86,83,84,71,60,50,49,73,77,72,78,82,79,80,81]",75.25,42.57,50.09,57.43
"[0,1,2,3,4,5,6,7,8,9,10,76,74,75,11,12,13,29,22,21,32,36,33,31,30,28,27,26,23,24,25,14,15,16,17,18,19,20,37,38,39,40,34,35,41,42,45,44,46,47,48,51,52,53,43,55,54,58,59,68,67,66,63,64,56,57,62,61,65,88,89,90,94,96,97,99,100,98,95,93,92,91,87,70,69,85,86,83,84,71,60,50,49,73,77,78,72,82,79,80,81]",74.26,46.53,53.71,59.41
"[0,1,2,3,4,5,6,7,8,9,10,76,74,75,11,12,13,17,29,22,21,32,36,33,31,30,28,27,26,23,24,25,14,15,16,18,19,20,37,38,39,40,34,35,41,42,44,45,46,47,48,51,52,53,43,55,54,58,59,68,67,66,63,64,56,57,62,61,65,88,89,90,94,96,97,99,100,98,95,93,92,91,87,70,69,85,86,83,84,71,60,50,49,73,77,72,78,82,79,80,81]",74.26,45.54,53.24,58.42
"[0,1,2,3,4,5,6,7,8,9,10,76,74,75,11,12,13,29,22,21,32,36,33,31,30,28,27,26,23,24,25,14,15,16,17,18,19,20,37,38,39,40,34,35,41,42,45,44,46,47,48,51,52,53,43,55,54,58,59,68,67,66,63,64,56,57,62,61,65,88,89,90,94,96,97,99,100,98,95,93,92,91,87,70,69,85,86,83,84,71,60,50,49,73,77,72,78,82,79,80,81]",74.26,45.54,52.76,58.42
"[0,1,2,3,4,5,6,7,8,9,10,76,74,75,11,12,13,29,22,21,32,36,33,31,30,28,27,26,23,24,25,14,15,16,17,18,19,20,37,38,39,40,34,35,41,42,44,45,46,47,48,51,52,53,43,55,54,58,59,68,67,66,63,64,56,57,62,61,65,88,89,90,91,94,96,97,99,100,98,95,93,92,87,70,69,85,86,83,84,71,60,50,49,73,77,72,78,82,79,80,81]",74.26,45.54,52.73,57.43
"[0,1,2,3,4,5,6,7,8,9,10,76,74,75,11,12,13,29,22,21,32,36,33,31,30,28,27,26,23,24,25,14,15,16,17,18,19,20,37,38,39,40,35,34,41,42,45,44,46,47,48,51,52,53,43,55,54,58,59,68,67,66,63,64,56,57,62,61,65,88,89,90,94,96,97,99,100,98,95,93,92,91,87,70,69,85,86,83,84,71,60,50,49,73,77,72,78,82,79,80,81]",74.26,45.54,52.61,58.42
"[0,1,2,3,4,5,6,7,8,9,10,76,74,75,11,12,13,29,22,21,32,36,33,31,30,28,27,26,23,24,25,14,15,16,17,18,19,20,37,38,39,40,34,35,41,42,44,45,46,47,48,51,52,53,43,55,54,58,59,68,67,66,63,64,56,57,62,61,65,88,89,90,91,94,96,97,99,100,98,95,92,93,87,70,69,85,86,83,84,71,60,50,49,73,77,72,78,82,79,80,81]",74.26,44.55,51.90,57.43
"[0,1,2,3,4,5,6,7,8,9,10,76,74,75,11,12,13,29,22,21,32,36,33,31,30,28,27,26,23,24,25,14,15,16,17,18,19,20,37,38,39,40,34,35,41,42,45,44,46,47,48,51,52,53,43,55,54,58,59,68,67,66,63,64,56,57,62,61,65,88,89,90,96,97,99,100,98,95,94,93,92,91,87,70,69,85,86,83,84,71,60,50,49,73,77,72,78,82,79,80,81]",74.26,44.55,51.84,57.43
"[0,1,2,3,4,5,6,7,8,9,10,76,74,75,11,12,13,29,22,21,32,36,33,31,30,28,27,26,23,24,25,14,15,16,17,18,19,20,37,38,39,40,35,34,41,42,44,45,46,47,48,51,52,53,43,55,54,58,59,68,67,66,63,64,56,57,62,61,65,88,89,90,91,94,96,97,99,100,98,95,92,93,87,70,69,85,86,83,84,71,60,50,49,73,77,72,78,82,79,80,81]",74.26,44.55,51.75,57.43
