Threshold,High MSA support edges,High MSA support density [%],Precision vs found-optimal edges [%],Recall vs found-optimal edges [%],Lift vs found-optimal edge density,High-MSA support edges not seen in found-optimal tours
0.100000,187,0.53,0.00,0.00,0.000000,0
0.200000,187,0.53,0.00,0.00,0.000000,0
0.300000,187,0.53,0.00,0.00,0.000000,0
0.400000,187,0.53,0.00,0.00,0.000000,0
0.500000,186,0.53,0.00,0.00,0.000000,0
0.600000,186,0.53,0.00,0.00,0.000000,0
0.700000,185,0.53,0.00,0.00,0.000000,0
0.800000,185,0.53,0.00,0.00,0.000000,0
0.900000,185,0.53,0.00,0.00,0.000000,0
1.000000,183,0.52,0.00,0.00,0.000000,0
