Tour,Commonality with CMSA,Min commonality with MSA,Avg commonality with MSA,Max commonality with MSA
"[0,28,29,1,7,35,34,6,20,44,45,21,22,46,14,38,37,11,13,27,26,10,5,33,9,25,24,8,17,41,40,16,4,32,30,2,23,47,31,3,15,39,36,12,18,42,43,19]",64.58,29.17,34.55,39.58
"[0,28,29,1,7,35,34,6,20,44,45,21,22,46,14,38,37,11,13,27,26,10,5,9,33,25,24,8,17,41,40,16,4,32,30,2,23,47,31,15,3,39,36,12,18,42,43,19]",64.58,29.17,34.51,39.58
"[0,28,31,3,15,39,30,2,23,47,46,22,14,38,37,11,13,27,26,10,5,9,33,25,24,8,17,41,40,16,4,32,35,1,7,29,34,6,20,44,45,21,36,12,18,42,43,19]",64.58,27.08,30.60,35.42
"[0,28,29,1,7,35,34,6,20,44,45,21,22,46,14,38,37,11,13,27,26,10,5,33,9,25,24,8,17,41,40,16,4,32,2,30,23,47,31,3,15,39,36,12,18,42,43,19]",62.50,31.25,34.90,39.58
"[0,28,29,1,7,35,34,6,20,44,45,21,22,46,14,38,37,11,13,27,26,10,5,9,33,25,24,8,17,41,40,16,4,32,2,30,23,47,15,3,31,39,36,12,18,42,43,19]",62.50,29.17,34.81,39.58
"[0,28,6,34,20,44,33,9,5,25,24,8,17,41,40,16,4,32,35,1,7,29,30,2,23,47,46,22,21,45,10,26,27,13,11,37,38,14,3,15,31,39,36,12,18,42,43,19]",62.50,31.25,34.51,39.58
"[0,28,34,6,20,44,45,21,22,46,14,38,37,11,13,27,26,10,33,5,9,25,24,8,17,41,40,16,4,32,35,1,7,29,30,2,23,47,3,15,31,39,36,12,18,42,43,19]",62.50,29.17,34.42,37.50
"[0,28,6,34,44,20,21,45,46,22,14,38,37,11,13,27,26,10,5,33,9,25,24,8,17,41,40,16,4,32,35,7,1,29,30,2,23,47,31,3,15,39,36,12,18,42,43,19]",62.50,29.17,34.38,39.58
"[0,28,6,34,44,20,5,9,33,25,24,8,17,41,40,16,4,32,35,1,7,29,30,2,23,47,46,22,21,45,10,26,27,11,13,37,38,14,15,3,31,39,36,12,18,42,43,19]",62.50,27.08,33.07,37.50
"[0,28,29,1,7,35,34,6,20,44,45,21,22,46,14,38,37,11,13,27,26,10,5,9,33,25,24,8,17,41,40,16,4,32,2,30,47,23,31,3,15,39,36,12,18,42,43,19]",62.50,29.17,32.90,37.50
"[0,28,29,7,1,35,34,6,20,44,33,5,9,25,24,8,17,41,40,16,4,32,2,30,23,47,46,22,21,45,10,26,27,11,13,37,38,14,15,3,31,39,36,12,18,42,43,19]",62.50,27.08,32.86,37.50
"[0,28,34,6,20,44,21,45,46,22,14,38,37,11,13,27,26,10,5,9,33,25,24,8,17,41,40,16,4,32,35,1,7,29,30,2,23,47,31,3,15,39,36,12,18,42,43,19]",62.50,29.17,32.55,37.50
"[0,28,6,34,44,20,33,5,9,25,24,8,17,41,40,16,4,32,35,1,7,29,30,2,23,47,46,22,21,45,10,26,27,11,13,37,38,14,3,15,31,39,36,12,18,42,43,19]",62.50,29.17,32.51,37.50
