Root,Thinness score (branch surplus),Max outgoing degree,Branching vertices,Total cost
0,33,4,23,5769880
1,34,4,26,5802419
2,34,4,24,5702477
3,37,4,29,5800445
4,38,4,28,5628168
5,35,4,25,5747670
6,36,4,26,5761494
7,35,4,27,5832050
8,34,4,26,5809050
9,37,4,27,5707060
10,37,4,27,5707098
11,35,4,27,5893709
12,36,4,27,5769343
13,35,4,27,5790809
14,36,4,27,5823740
15,36,4,27,5746721
16,35,3,26,5758023
17,34,4,24,5740700
18,38,4,29,5751889
19,37,4,27,5792837
20,36,4,27,5737915
21,38,4,28,5665202
22,37,4,26,5721960
23,38,4,28,5752998
24,35,4,26,5833233
25,34,4,26,5874318
26,37,4,29,5739632
27,36,4,27,5800391
28,35,4,25,5749281
29,37,4,28,5752003
30,38,4,28,5667701
31,36,4,26,5818119
32,34,4,27,5802780
33,36,4,26,5766962
34,38,4,29,5727004
35,35,4,27,5761549
36,36,4,27,5774015
37,37,4,28,5786228
38,34,4,26,5773649
39,36,4,26,5741917
40,38,4,29,5729907
41,35,4,28,5892488
42,37,4,27,5851911
43,34,4,26,5847873
44,36,3,27,5770104
45,37,4,28,5845628
46,33,4,23,5730375
47,37,4,27,5710566
48,36,4,28,5885423
49,36,4,26,5762688
50,34,4,26,5796806
51,34,4,26,5888179
52,37,4,29,5800278
53,36,3,27,5802599
54,37,4,28,5765080
55,35,4,25,5740393
56,34,4,26,5859994
57,36,4,26,5759198
58,36,4,26,5845412
59,34,4,26,5844826
60,34,4,26,5753098
61,37,4,27,5724697
62,38,4,29,5667565
63,37,4,27,5774026
64,34,4,24,5756691
65,34,4,24,5753044
66,36,4,26,5794117
67,36,4,27,5904057
68,36,4,26,5870208
69,35,4,27,5874505
70,37,4,28,5714864
71,35,4,26,5885762
72,36,4,26,5723999
73,34,4,27,5807736
74,35,4,26,5822212
75,35,4,26,5796494
76,35,4,26,5872757
77,33,4,23,5851502
78,35,4,26,5790334
79,37,4,27,5717119
80,36,4,27,5907344
81,34,4,26,5766314
82,34,4,26,5810880
83,36,4,26,5767435
84,34,4,26,5726357
85,34,4,24,5748186
86,37,4,27,5747458
87,37,4,27,5839472
88,36,4,26,5870532
89,34,4,24,5781657
90,35,4,27,5764373
91,37,4,27,5739418
92,36,4,27,5780321
93,37,4,28,5688303
94,38,4,29,5689431
95,36,4,27,5804452
96,35,4,25,5727469
97,34,4,26,5819923
98,37,4,29,5772775
99,34,4,26,5771534
