Tour,Commonality with CMSA,Min commonality with MSA,Avg commonality with MSA,Max commonality with MSA
"[0,28,25,27,6,13,66,14,12,15,16,18,19,20,21,23,60,33,35,34,69,41,38,36,37,63,40,68,46,62,54,51,50,67,49,47,39,48,55,56,70,3,4,8,7,9,11,10,58,61,59,57,52,45,53,44,43,42,32,26,22,17,64,24,29,30,31,65,1,2,5]",76.06,45.07,49.61,53.52
"[0,28,25,27,6,13,66,14,12,15,16,18,19,20,21,23,60,33,34,35,69,41,38,36,37,63,40,68,46,62,54,51,50,67,49,47,39,48,55,56,70,3,4,8,7,9,11,10,58,61,59,57,52,45,53,44,43,42,32,26,22,17,64,24,29,30,31,65,1,2,5]",76.06,45.07,49.55,53.52
"[0,28,25,27,6,13,66,14,12,15,16,18,19,20,21,23,60,33,35,34,69,41,38,36,37,63,40,68,46,62,54,51,50,67,49,47,39,48,55,56,70,3,4,8,7,9,11,10,58,61,59,57,52,53,44,45,43,42,32,26,22,17,64,24,29,30,31,65,1,2,5]",76.06,43.66,49.30,53.52
"[0,28,25,27,6,13,66,14,12,15,16,18,19,20,21,23,60,33,34,35,69,41,38,36,37,63,40,68,46,62,54,51,50,67,49,47,39,48,55,56,70,3,4,8,7,9,11,10,58,61,59,57,52,53,44,45,43,42,32,26,22,17,64,24,29,30,31,65,1,2,5]",76.06,43.66,49.24,53.52
"[0,28,25,27,6,13,66,14,12,15,16,18,19,20,21,23,60,33,35,34,69,41,37,38,36,63,40,68,46,62,54,51,50,67,49,47,39,48,55,56,70,3,4,8,7,9,11,10,58,61,59,57,52,45,53,44,43,42,32,26,22,17,64,24,29,30,31,65,1,2,5]",76.06,43.66,48.30,52.11
"[0,28,25,27,6,13,66,14,12,15,16,18,19,20,21,23,60,33,34,35,69,41,37,38,36,63,40,68,46,62,54,51,50,67,49,47,39,48,55,56,70,3,4,8,7,9,11,10,58,61,59,57,52,45,53,44,43,42,32,26,22,17,64,24,29,30,31,65,1,2,5]",76.06,43.66,48.24,52.11
"[0,28,25,27,6,13,66,14,12,15,16,18,19,20,21,23,60,33,35,34,69,41,37,38,36,63,40,68,46,62,54,51,50,67,49,47,39,48,55,56,70,3,4,8,7,9,11,10,58,61,59,57,52,53,44,45,43,42,32,26,22,17,64,24,29,30,31,65,1,2,5]",76.06,42.25,47.99,53.52
"[0,28,25,27,6,13,66,14,12,15,16,18,19,20,21,23,60,33,34,35,69,41,37,38,36,63,40,68,46,62,54,51,50,67,49,47,39,48,55,56,70,3,4,8,7,9,11,10,58,61,59,57,52,53,44,45,43,42,32,26,22,17,64,24,29,30,31,65,1,2,5]",76.06,42.25,47.93,52.11
"[0,28,25,27,6,13,66,14,12,15,16,18,19,20,21,23,60,33,35,34,69,41,38,36,37,63,40,68,46,62,54,51,50,67,49,47,39,48,55,70,3,4,8,7,9,11,10,58,61,59,57,56,52,45,53,44,43,42,32,26,22,17,64,24,29,30,31,65,1,2,5]",74.65,46.48,50.78,53.52
"[0,28,25,27,6,13,66,14,12,15,16,18,19,20,21,22,23,60,33,35,34,69,41,38,36,37,63,40,68,46,62,54,51,50,67,49,47,39,48,55,56,70,3,4,8,7,9,11,10,58,61,59,57,52,45,53,44,43,42,32,26,17,64,24,29,30,31,65,1,2,5]",74.65,46.48,50.78,54.93
"[0,28,25,27,6,13,66,14,12,15,16,18,19,20,21,23,60,33,34,35,69,41,38,36,37,63,40,68,46,62,54,51,50,67,49,47,39,48,55,70,3,4,8,7,9,11,10,58,61,59,57,56,52,45,53,44,43,42,32,26,22,17,64,24,29,30,31,65,1,2,5]",74.65,46.48,50.72,53.52
"[0,28,25,27,6,13,66,14,12,15,16,18,19,20,21,23,60,33,35,34,69,41,38,36,37,63,40,68,46,62,54,51,50,67,49,47,39,48,55,70,3,4,8,7,9,11,10,58,61,59,57,56,52,53,44,45,43,42,32,26,22,17,64,24,29,30,31,65,1,2,5]",74.65,45.07,50.47,54.93
"[0,28,25,27,6,13,66,14,12,15,16,18,19,20,21,22,23,60,33,35,34,69,41,38,36,37,63,40,68,46,62,54,51,50,67,49,47,39,48,55,56,70,3,4,8,7,9,11,10,58,61,59,57,52,53,44,45,43,42,32,26,17,64,24,29,30,31,65,1,2,5]",74.65,45.07,50.47,54.93
"[0,28,25,27,6,13,66,14,12,15,16,18,19,20,21,23,60,33,34,35,69,41,38,36,37,63,40,68,46,62,54,51,50,67,49,47,39,48,55,70,3,4,8,7,9,11,10,58,61,59,57,56,52,53,44,45,43,42,32,26,22,17,64,24,29,30,31,65,1,2,5]",74.65,45.07,50.41,54.93
"[0,28,25,27,6,13,66,14,12,15,16,18,19,20,21,22,23,60,33,34,35,69,41,38,36,37,63,40,68,46,62,54,51,50,67,49,47,39,48,55,56,70,3,4,8,7,9,11,10,58,61,59,57,52,53,44,45,43,42,32,26,17,64,24,29,30,31,65,1,2,5]",74.65,45.07,50.41,54.93
