Tour,Commonality with CMSA,Min commonality with MSA,Avg commonality with MSA,Max commonality with MSA
"[0,1,2,31,30,29,24,42,23,22,18,16,17,15,12,13,14,43,11,10,19,21,20,7,9,8,40,6,41,39,35,32,28,25,26,27,33,34,36,37,38,44,3,4,5]",75.56,46.67,53.93,60.00
"[0,1,2,31,30,29,24,42,23,22,18,16,17,15,12,13,14,43,11,10,19,21,20,7,9,8,40,6,41,39,38,35,32,28,25,26,27,33,34,36,37,44,3,4,5]",75.56,51.11,57.09,62.22
"[0,1,2,31,30,29,24,42,23,22,18,16,17,15,12,13,43,11,10,14,21,19,20,7,9,8,40,6,41,39,35,32,28,25,26,27,33,34,36,37,38,44,3,4,5]",73.33,48.89,52.64,57.78
"[0,1,2,31,30,29,24,42,23,22,18,16,17,15,12,13,43,11,10,14,19,21,20,7,9,8,40,6,41,39,38,35,32,28,25,26,27,33,34,36,37,44,3,4,5]",73.33,51.11,55.16,60.00
"[0,1,2,31,30,29,24,42,23,22,18,16,17,15,12,13,14,43,11,10,21,19,20,7,9,8,40,6,41,39,38,35,32,28,25,26,27,33,34,36,37,44,3,4,5]",73.33,51.11,57.04,62.22
"[0,1,2,31,30,29,24,42,23,22,18,16,17,15,12,13,43,11,10,14,19,21,20,7,9,8,40,6,41,39,35,32,28,25,26,27,33,34,36,37,38,44,3,4,5]",73.33,46.67,52.00,57.78
"[0,1,2,31,30,29,24,42,23,22,18,16,17,15,12,13,43,11,10,14,21,19,20,7,9,8,40,6,41,39,38,35,32,28,25,26,27,33,34,36,37,44,3,4,5]",73.33,51.11,55.80,60.00
"[0,1,2,31,30,29,24,42,23,22,18,16,17,15,12,13,14,43,11,10,21,19,20,7,9,8,40,6,41,39,35,32,28,25,26,27,33,34,36,37,38,44,3,4,5]",73.33,46.67,53.88,60.00
"[0,1,2,31,30,29,24,42,23,22,18,16,17,15,12,13,14,43,11,10,19,21,20,7,9,8,40,41,6,39,35,32,28,25,26,27,33,34,36,37,38,44,3,4,5]",71.11,44.44,51.56,55.56
"[0,1,2,31,30,29,24,42,23,22,18,16,17,15,12,13,14,43,11,10,19,21,20,7,9,8,40,41,6,39,38,35,32,28,25,26,27,33,34,36,37,44,3,4,5]",71.11,48.89,54.72,57.78
"[0,1,2,31,30,29,24,42,23,22,18,16,17,15,12,13,43,11,10,14,19,21,20,7,9,8,40,41,6,39,38,35,32,28,25,26,27,33,34,36,37,44,3,4,5]",68.89,48.89,52.79,55.56
"[0,1,2,31,30,29,24,42,23,22,18,16,17,15,12,13,43,11,10,14,21,19,20,7,9,8,40,41,6,39,35,32,28,25,26,27,33,34,36,37,38,44,3,4,5]",68.89,46.67,50.27,53.33
"[0,1,2,31,30,29,24,42,23,22,18,16,17,15,12,13,43,11,10,14,21,19,20,7,9,8,40,41,6,39,38,35,32,28,25,26,27,33,34,36,37,44,3,4,5]",68.89,48.89,53.43,57.78
"[0,1,2,31,30,29,24,42,23,22,18,16,17,15,12,13,43,11,10,14,19,21,20,7,9,8,40,41,6,39,35,32,28,25,26,27,33,34,36,37,38,44,3,4,5]",68.89,44.44,49.63,53.33
"[0,1,2,31,30,29,24,42,23,22,18,16,17,15,12,13,14,43,11,10,21,19,20,7,9,8,40,41,6,39,38,35,32,28,25,26,27,33,34,36,37,44,3,4,5]",68.89,48.89,54.67,57.78
"[0,1,2,31,30,29,24,42,23,22,18,16,17,15,12,13,14,43,11,10,21,19,20,7,9,8,40,41,6,39,35,32,28,25,26,27,33,34,36,37,38,44,3,4,5]",68.89,44.44,51.51,55.56
