Tour,Commonality with CMSA,Min commonality with MSA,Avg commonality with MSA,Max commonality with MSA
"[0,25,1,9,33,27,2,41,43,22,20,37,38,18,17,12,32,7,23,34,13,46,36,35,14,15,16,45,39,19,44,21,40,47,26,42,28,3,24,4,29,30,5,31,6,8,11,10]",66.67,35.42,43.06,47.92
"[0,25,1,9,33,27,2,41,43,22,20,38,37,18,17,12,32,7,23,34,13,46,36,35,14,15,16,45,39,19,44,21,40,47,26,42,28,3,24,4,29,30,5,31,6,8,11,10]",66.67,35.42,42.53,50.00
"[0,25,1,9,33,27,2,41,43,22,40,20,37,38,18,17,12,32,7,23,34,13,46,36,35,14,15,16,45,39,19,44,21,47,26,42,28,3,24,4,29,30,5,31,6,8,11,10]",66.67,37.50,45.05,50.00
"[0,25,1,9,33,27,2,41,43,22,40,20,38,37,18,17,12,32,7,23,34,13,46,36,35,14,15,16,45,39,19,44,21,47,26,42,28,3,24,4,29,30,5,31,6,8,11,10]",66.67,37.50,44.53,52.08
"[0,25,1,9,33,27,2,41,43,22,20,38,37,18,17,12,32,7,23,34,13,46,36,14,35,15,16,45,39,19,44,21,40,47,26,42,28,3,24,4,29,30,5,31,6,8,11,10]",64.58,31.25,38.63,45.83
"[0,25,1,9,33,27,2,41,43,22,40,20,38,37,18,17,12,32,7,23,34,13,46,36,35,14,15,16,45,39,19,44,21,47,26,42,28,3,24,4,29,30,31,5,6,8,11,10]",64.58,33.33,40.62,47.92
"[0,25,1,9,33,27,2,41,43,22,20,37,38,18,17,12,32,7,23,34,13,46,36,14,35,15,16,45,39,19,44,21,40,47,26,42,28,3,24,4,29,30,5,31,6,8,11,10]",64.58,31.25,39.15,43.75
"[0,25,1,9,33,27,2,41,43,22,20,37,38,18,17,12,32,7,23,34,13,46,36,35,14,15,16,45,39,19,44,21,40,47,26,42,28,3,24,4,29,30,31,5,6,8,11,10]",64.58,31.25,39.15,43.75
"[0,25,1,9,33,27,2,41,43,22,40,20,37,38,18,17,12,32,7,23,34,13,46,36,14,35,15,16,45,39,19,44,21,47,26,42,28,3,24,4,29,30,5,31,6,8,11,10]",64.58,33.33,41.15,45.83
"[0,25,1,9,33,27,2,41,43,22,40,20,38,37,18,17,12,32,7,23,34,13,46,36,14,35,15,16,45,39,19,44,21,47,26,42,28,3,24,4,29,30,5,31,6,8,11,10]",64.58,33.33,40.62,47.92
"[0,25,1,9,33,27,2,41,43,22,20,38,37,18,17,12,32,7,23,34,13,46,36,35,14,15,16,45,39,19,44,21,40,47,26,42,28,3,24,4,29,30,31,5,6,8,11,10]",64.58,31.25,38.63,45.83
"[0,25,1,9,33,27,2,41,43,22,40,20,38,37,18,17,12,32,7,23,34,13,46,36,14,35,15,16,45,39,19,44,21,47,26,42,28,3,24,4,29,30,31,5,6,8,11,10]",62.50,29.17,36.72,43.75
"[0,25,1,9,33,27,2,41,43,22,40,20,37,38,18,17,12,32,7,23,34,13,46,36,14,35,15,16,45,39,19,44,21,47,26,42,28,3,24,4,29,30,31,5,6,8,11,10]",62.50,29.17,37.24,41.67
"[0,25,1,9,33,27,2,41,43,22,20,38,37,18,17,12,32,7,23,34,13,46,36,14,35,15,16,45,39,19,44,21,40,47,26,42,28,3,24,4,29,30,31,5,6,8,11,10]",62.50,27.08,34.72,41.67
"[0,25,1,9,33,27,2,41,43,22,20,37,38,18,17,12,32,7,23,34,13,46,36,14,35,15,16,45,39,19,44,21,40,47,26,42,28,3,24,4,29,30,31,5,6,8,11,10]",62.50,27.08,35.24,39.58
