Tour,Commonality with CMSA,Min commonality with MSA,Avg commonality with MSA,Max commonality with MSA
"[0,11,8,7,16,3,4,14,5,15,6,12,10,1,9,2,13]",52.94,29.41,34.26,41.18
"[0,11,8,7,16,3,4,6,5,14,15,9,1,10,12,2,13]",52.94,29.41,34.26,41.18
"[0,11,2,13,12,1,10,9,6,5,15,14,3,4,16,7,8]",52.94,29.41,34.26,41.18
"[0,11,16,7,8,3,4,6,5,14,15,10,12,1,9,2,13]",52.94,29.41,34.26,41.18
"[0,11,15,5,14,6,3,4,16,7,8,10,1,9,12,2,13]",52.94,29.41,34.26,41.18
"[0,11,8,7,16,3,4,15,14,5,6,10,12,9,1,2,13]",52.94,23.53,33.91,41.18
"[0,11,6,14,15,5,3,4,16,7,8,12,1,10,9,2,13]",52.94,23.53,33.91,41.18
"[0,11,2,13,12,1,10,9,15,6,14,5,3,4,8,7,16]",52.94,23.53,33.91,41.18
"[0,11,14,6,5,15,3,4,8,7,16,9,12,10,1,2,13]",52.94,23.53,33.91,41.18
"[0,11,14,6,15,5,3,4,8,7,16,9,1,10,12,2,13]",52.94,23.53,33.91,41.18
"[0,7,8,16,3,4,14,5,6,15,9,10,1,12,2,13,11]",52.94,23.53,33.56,41.18
"[0,7,16,8,3,4,6,14,5,15,12,1,9,10,2,13,11]",52.94,23.53,33.56,41.18
"[0,7,16,8,3,4,15,14,5,6,12,9,1,10,2,13,11]",52.94,23.53,33.56,41.18
"[0,11,6,14,15,5,3,4,8,7,16,9,10,12,1,2,13]",52.94,23.53,33.56,41.18
"[0,5,6,15,14,3,4,16,7,8,10,1,12,9,2,13,11]",52.94,23.53,32.53,41.18
"[0,5,15,6,14,3,4,16,7,8,12,1,10,9,2,13,11]",52.94,23.53,32.53,41.18
"[0,5,15,14,6,3,4,16,7,8,12,9,1,10,2,13,11]",52.94,23.53,32.53,41.18
"[0,5,14,6,15,3,4,8,7,16,10,1,12,9,2,13,11]",52.94,23.53,32.53,41.18
"[0,5,14,15,6,3,4,16,7,8,9,1,12,10,2,13,11]",52.94,23.53,32.53,41.18
"[0,5,14,15,6,3,4,16,7,8,10,9,1,12,2,13,11]",52.94,23.53,32.53,41.18
"[0,5,6,14,15,3,4,8,7,16,12,10,9,1,2,13,11]",52.94,23.53,32.18,41.18
"[0,5,15,14,6,3,4,16,7,8,9,12,10,1,2,13,11]",52.94,23.53,32.18,41.18
"[0,5,14,15,6,3,4,8,7,16,9,12,10,1,2,13,11]",52.94,23.53,32.18,41.18
