Alpha,Beta,Rho,Heuristic weight,Random seed,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.10,102,100,41,77.17,99,0,0.00,0,1.64,4.24,7.77,0.00
1.00,2.00,0.80,0.10,101,100,46,78.33,99,0,0.00,0,0.99,4.93,8.47,0.00
1.00,2.00,0.80,0.10,103,100,48,77.60,99,0,0.00,0,1.26,5.39,8.90,0.00
1.00,2.00,0.80,0.20,101,100,61,82.53,98,0,0.00,0,1.75,5.39,9.22,0.00
1.00,2.00,0.80,0.40,101,100,52,86.77,99,0,0.00,0,1.64,5.80,9.60,0.00
1.00,2.00,0.80,0.20,103,100,34,83.17,99,0,0.00,0,2.10,5.88,11.45,0.00
1.00,2.00,0.80,0.20,102,100,61,87.27,99,0,0.00,0,1.87,6.02,11.73,0.00
1.00,2.00,0.80,0.30,101,100,46,84.30,99,0,0.00,0,2.05,6.10,9.72,0.00
1.00,2.00,0.80,0.30,103,100,39,85.83,99,0,0.00,0,1.82,6.15,10.89,0.00
1.00,2.00,0.80,0.30,102,100,33,81.33,99,0,0.00,0,2.47,6.65,11.06,0.00
1.00,2.00,0.80,0.40,103,100,63,89.03,99,0,0.00,0,1.87,7.14,11.51,0.00
1.00,2.00,0.80,0.40,102,100,70,88.60,99,0,0.00,0,3.60,7.19,11.63,0.00
1.00,2.00,0.80,0.50,102,100,62,87.70,99,0,0.00,0,2.20,7.31,13.24,0.00
1.00,2.00,0.80,0.50,103,100,62,85.27,99,0,0.00,0,3.00,7.38,12.43,0.00
1.00,2.00,0.80,0.60,101,100,72,92.27,99,0,0.00,0,4.05,7.49,13.53,0.00
1.00,2.00,0.80,0.70,101,100,67,90.73,99,0,0.00,0,4.29,7.84,11.57,0.00
1.00,2.00,0.80,0.50,101,100,49,89.40,99,0,0.00,0,3.67,7.90,12.54,0.00
1.00,2.00,0.80,0.60,103,100,75,91.97,99,0,0.00,0,2.91,8.06,15.25,0.00
1.00,2.00,0.80,0.60,102,100,72,90.57,99,0,0.00,0,4.44,8.23,11.97,0.00
1.00,2.00,0.80,0.90,101,100,84,93.83,99,0,0.00,0,3.17,8.36,13.52,0.00
1.00,2.00,0.80,0.70,103,100,71,89.53,99,0,0.00,0,4.33,8.40,11.90,0.00
1.00,2.00,0.80,0.80,101,100,73,93.10,99,0,0.00,0,3.83,8.81,11.74,0.00
1.00,2.00,0.80,0.70,102,100,67,89.03,99,0,0.00,0,4.73,8.98,15.04,0.00
1.00,2.00,0.80,0.80,103,100,59,91.10,99,0,0.00,0,4.81,9.23,13.45,0.00
1.00,2.00,0.80,0.80,102,100,65,90.40,99,0,0.00,0,4.20,9.24,16.79,0.00
1.00,2.00,0.80,0.90,103,100,81,93.33,99,0,0.00,0,5.91,9.53,15.28,0.00
1.00,2.00,0.80,1.00,101,100,82,93.93,99,0,0.00,0,2.73,9.66,15.07,0.00
1.00,2.00,0.80,1.00,103,100,56,92.33,99,0,0.00,0,5.50,9.68,15.48,0.00
1.00,2.00,0.80,0.90,102,100,74,92.33,99,0,0.00,0,2.16,9.80,13.63,0.00
1.00,2.00,0.80,1.00,102,100,82,94.00,99,0,0.00,0,6.34,10.01,14.66,0.00
