| Instance | Alpha | Beta | Evaporation | Exploration | Ants | Iterations | Average Result | Known Optimal | Deviation (%) | Success rate (%) | Time (ms) |
|-|-|-|-|-|-|-|-|-|-|-|
| ft53 | 1.00 | 2.00 | 0.50 | 10.00 | 53 | 500 | 7438 | 6905 | 7.72 | 0.00 | 296 |
| ft53 | 1.00 | 2.00 | 0.60 | 10.00 | 53 | 500 | 7345 | 6905 | 6.38 | 0.00 | 247 |
| ft53 | 1.00 | 2.00 | 0.70 | 10.00 | 53 | 500 | 7420 | 6905 | 7.45 | 0.02 | 246 |
| ft53 | 1.00 | 2.00 | 0.80 | 10.00 | 53 | 500 | 7416 | 6905 | 7.40 | 0.00 | 254 |
| ft53 | 1.00 | 2.50 | 0.50 | 10.00 | 53 | 500 | 7381 | 6905 | 6.89 | 0.00 | 241 |
| ft53 | 1.00 | 2.50 | 0.60 | 10.00 | 53 | 500 | 7335 | 6905 | 6.22 | 0.00 | 248 |
| ft53 | 1.00 | 2.50 | 0.70 | 10.00 | 53 | 500 | 7279 | 6905 | 5.42 | 0.00 | 245 |
| ft53 | 1.00 | 2.50 | 0.80 | 10.00 | 53 | 500 | 7271 | 6905 | 5.30 | 0.00 | 256 |
| ft53 | 1.00 | 3.00 | 0.50 | 10.00 | 53 | 500 | 7245 | 6905 | 4.93 | 0.00 | 246 |
| ft53 | 1.00 | 3.00 | 0.60 | 10.00 | 53 | 500 | 7230 | 6905 | 4.71 | 0.00 | 244 |
| ft53 | 1.00 | 3.00 | 0.70 | 10.00 | 53 | 500 | 7227 | 6905 | 4.66 | 0.00 | 238 |
| ft53 | 1.00 | 3.00 | 0.80 | 10.00 | 53 | 500 | 7226 | 6905 | 4.65 | 0.00 | 250 |
| ft53 | 1.00 | 3.50 | 0.50 | 10.00 | 53 | 500 | 7227 | 6905 | 4.67 | 0.00 | 298 |
| ft53 | 1.00 | 3.50 | 0.60 | 10.00 | 53 | 500 | 7228 | 6905 | 4.68 | 0.00 | 254 |
| ft53 | 1.00 | 3.50 | 0.70 | 10.00 | 53 | 500 | 7217 | 6905 | 4.51 | 0.00 | 278 |
| ft53 | 1.00 | 3.50 | 0.80 | 10.00 | 53 | 500 | 7212 | 6905 | 4.45 | 0.00 | 242 |
| ft53 | 1.00 | 4.00 | 0.50 | 10.00 | 53 | 500 | 7242 | 6905 | 4.88 | 0.00 | 298 |
| ft53 | 1.00 | 4.00 | 0.60 | 10.00 | 53 | 500 | 7230 | 6905 | 4.71 | 0.00 | 284 |
| ft53 | 1.00 | 4.00 | 0.70 | 10.00 | 53 | 500 | 7223 | 6905 | 4.61 | 0.00 | 243 |
| ft53 | 1.00 | 4.00 | 0.80 | 10.00 | 53 | 500 | 7245 | 6905 | 4.92 | 0.00 | 287 |
| ft53 | 1.00 | 4.50 | 0.50 | 10.00 | 53 | 500 | 7239 | 6905 | 4.84 | 0.00 | 253 |
| ft53 | 1.00 | 4.50 | 0.60 | 10.00 | 53 | 500 | 7246 | 6905 | 4.93 | 0.00 | 251 |
| ft53 | 1.00 | 4.50 | 0.70 | 10.00 | 53 | 500 | 7230 | 6905 | 4.71 | 0.00 | 255 |
| ft53 | 1.00 | 4.50 | 0.80 | 10.00 | 53 | 500 | 7244 | 6905 | 4.91 | 0.00 | 247 |
| ft53 | 1.00 | 5.00 | 0.50 | 10.00 | 53 | 500 | 7285 | 6905 | 5.51 | 0.00 | 321 |
| ft53 | 1.00 | 5.00 | 0.60 | 10.00 | 53 | 500 | 7251 | 6905 | 5.01 | 0.00 | 264 |
| ft53 | 1.00 | 5.00 | 0.70 | 10.00 | 53 | 500 | 7246 | 6905 | 4.94 | 0.00 | 248 |
| ft53 | 1.00 | 5.00 | 0.80 | 10.00 | 53 | 500 | 7269 | 6905 | 5.27 | 0.00 | 266 |

Best Parameters: Alpha: 1.00, Beta: 3.50, Evaporation: 0.80, Exploration: 10.00, Best Length: 7212, Deviation: 4.45%, Success rate: 0.00%
